-DOCSTART- -X- -X- O U
Yanagimoto NNP I-NP I-PER U
ccosc VB B-VP O M-2
1owarals IN B-PP O M-2
the DT B-NP O U
Syrian JJ I-NP B-MISC U
goal NN I-NP O U
which WDT B-NP O U
goalkeeper VBD B-VP O U
3alcm NNP B-NP B-PER M-2
Bitar NNP I-NP I-PER U
appeared VBD B-VP O U
to TO I-VP O U
have VB I-VP O U
covered VBN I-VP O U
tat CC O O M-2
then RB B-VP O U
allowed VBN I-VP O U
to TO I-VP O U
slip VB I-VP O U
jntb IN B-PP O M-2
the DT B-NP O U
net NN I-NP O U
. . O O U

Lf PRP B-NP O M-2
was VBD B-VP O U
the DT B-NP O U
second JJ I-NP O U
costly JJ I-NP O U
blunder NN I-NP O U
by IN B-PP O U
Syria NNP B-NP B-LOC U
in IN B-PP O U
four CD B-NP O U
minutes NNS I-NP O U
. . O O U

Defender NNP B-NP O U
Hassan NNP I-NP B-PER U
Abbas NNP I-NP I-PER U
rose VBD B-VP O U
to TO I-VP O U
intercept VB I-VP O U
a DT B-NP O U
loup JJ I-NP O M-2
ball NN I-NP O U
tnt0 IN B-PP O M-2
the DT B-NP O U
area NN I-NP O U
in IN B-PP O U
the DT B-NP O U
84th JJ I-NP O U
minute NN I-NP O U
but CC O O U
only RB B-ADVP O U
managed VBD B-VP O U
to TO I-VP O U
divert VB I-VP O U
l1 PRP B-NP O M-2
into IN B-PP O U
1hc DT B-NP O M-2
foo JJ I-NP O M-2
comer NN I-NP O M-2
6t IN B-PP O M-2
Blfar NN B-NP B-PER M-2
's POS B-NP O U
goal NN I-NP O U
. . O O U

Nader NNP B-NP B-PER U
Jnkliadar NNP I-NP I-PER M-2
had VBD B-VP O U
given VBN I-VP O U
Syria NNP B-NP B-LOC U
the DT B-NP O U
lead NN I-NP O U
wttli IN B-PP O M-2
a DT B-NP O U
well-struck NN I-NP O U
header NN I-NP O U
lh IN B-PP O M-2
the DT B-NP O U
seventh JJ I-NP O U
minute NN I-NP O U
. . O O U

Jspun NNP B-NP B-LOC M-2
then RB B-ADVP O U
lsil VBD B-VP O M-2
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
penalty NN I-NP O U
area NN I-NP O U
t0r IN B-PP O M-2
most JJS B-NP O U
of IN B-PP O U
the DT B-NP O U
game NN I-NP O U
boi CC O O M-2
rarely RB B-VP O U
broarhed VBD I-VP O M-2
ihc DT B-NP O M-2
Syrian JJ I-NP B-MISC U
defence NN I-NP O U
. . O O U

Bitar NN B-NP B-PER U
pulled VBD B-VP O U
ulf RP B-PRT O M-2
fine JJ B-NP O U
saves VBZ B-VP O U
whenever WRB B-ADVP O U
they PRP B-NP O U
did VBD B-VP O U
. . O O U

Japan NNP B-NP B-LOC U
coach NN I-NP O U
Shu NNP I-NP B-PER U
Kamo NNP I-NP I-PER U
said VBD B-VP O U
: : O O U
' '' O O U
j POS B-NP O M-1
The DT I-NP O U
Syrian JJ I-NP B-MISC U
omr JJ I-NP O M-2
goal NN I-NP O U
proved VBD B-VP O U
lucky JJ B-ADJP O U
for IN B-PP O U
us PRP B-NP O U
. . O O U

The DT B-NP O U
Syrians NNPS I-NP B-MISC U
scored VBD B-VP O U
oarlv JJ B-NP O M-2
unal CC O O M-2
then RB B-VP O U
played VBN I-VP O U
defensively RB B-ADVP O U
urd CC O O M-2
alooted VBD B-VP O M-2
long RB I-VP O U
balls VBZ I-VP O U
which WDT B-NP O U
made VBD B-VP O U
it PRP B-NP O U
hard JJ B-ADJP O U
for IN B-PP O U
us PRP B-NP O U
. . O O U
' '' O O U

' '' O O U

Japan NNP B-NP B-LOC U
, , O O U
co-hq8ts VBZ B-VP O M-2
of IN B-PP O U
the DT B-NP O U
World NNP I-NP B-MISC U
cuo NNP I-NP I-MISC M-2
in IN B-PP O U
2002 CD B-NP O U
shd CC O O M-2
ranked VBD B-VP O U
20th JJ B-NP O U
in IN B-PP O U
ihc DT B-NP O M-2
world NN I-NP O U
by IN B-PP O U
FIFA NNP B-NP B-ORG U
, , O O U
sro VBP B-VP O M-2
favourites JJ B-ADJP O U
to TO B-VP O U
regain VB I-VP O U
1hcir PRP$ B-NP O M-2
title NN I-NP O U
here RB B-ADVP O U
. . O O U

H0sis NNPS B-NP O M-2
UAE NNP I-NP B-LOC U
play NN I-NP O U
Kuwait NNP I-NP B-LOC U
and CC O O U
Sonfh NNP B-NP B-LOC M-2
Korea NNP I-NP I-LOC U
take VBP B-VP O U
on IN B-PP O U
Indonesia NNP B-NP B-LOC U
on IN B-PP O U
Saturday NNP B-NP O U
in IN B-PP O U
Group NNP B-NP O U
A NNP I-NP O U
mutchea VBZ B-VP O M-2
. . O O U

All DT B-NP O U
four CD I-NP O U
teams NNS I-NP O U
are VBP B-VP O U
level NN B-NP O U
mi1h IN B-PP O M-2
oro CD B-NP O M-2
point NN I-NP O U
each DT B-NP O U
fnum IN B-PP O M-2
one CD B-NP O U
dsme NN I-NP O M-2
. . O O U

-DOCSTART- -X- -X- O U

liilGBY NNP B-NP B-ORG M-2
UNION NN I-NP I-ORG U
- : O O U
CUTTITTA NNP B-NP B-PER U
BACK NNP I-NP O U
FOR IN B-PP O U
ITALY JJ B-NP B-LOC U
AFTER NNP I-NP O U
A NNP I-NP O U
YEAR NNP I-NP O U
. . O O U

ROME VB B-NP B-LOC U
1996-12-06 CD I-NP O U

Italy NNP B-NP B-LOC U
rerallcd VBD B-VP O M-2
ourcello NNP B-NP B-PER M-2
Cuttitta NNP I-NP I-PER U

6h IN B-PP O M-2
Friday NNP B-NP O U
for IN B-PP O U
flieir PRP$ B-NP O M-2
friendly JJ I-NP O U
against IN B-PP O U
Scotland NNP B-NP B-LOC U
at IN B-PP O U
Murrayfield NNP B-NP B-LOC U
muce JJR B-ADJP O M-2
than IN B-PP O U
a DT B-NP O U
year NN I-NP O U
after IN B-PP O U
the DT B-NP O U
30-year-old JJ I-NP O U
miug NN I-NP O M-2
announced VBD B-VP O U
bc PRP B-NP O M-2
was VBD B-VP O U
retiring VBG I-VP O U
following VBG B-PP O U
differences NNS B-NP O U
over IN B-PP O U
selection NN B-NP O U
. . O O U

Cuttitta NNP B-NP B-PER U
, , O O U
who WP B-NP O U
tminer NN I-NP O M-2
George NNP I-NP B-PER U
Coste NNP I-NP I-PER U
said VBD B-VP O U
was VBD B-VP O U
eer1ain JJ B-ADJP O M-2
to TO B-VP O U
play VB I-VP O U
er IN B-PP O M-2
Saturday NNP B-NP O U
mcek NN I-NP O M-2
, , O O U
maa VBD B-VP O M-2
named VBN I-VP O U
in IN B-PP O U
a DT B-NP O U
21-man JJ I-NP O U
squad NN I-NP O U
lacking VBG B-VP O U
only RB B-NP O U
two CD I-NP O U
of IN B-PP O U
the DT B-NP O U
teurn NN I-NP O M-2
beaten VBN B-VP O U
54-21 JJ B-ADJP O U
by IN B-PP O U
Fugland NNP B-NP B-LOC M-2
at IN B-PP O U
Twickenham NNP B-NP B-LOC U
last JJ B-NP O U
month NN I-NP O U
. . O O U

Stefano NNP B-NP B-PER U
Bordon NNP I-NP I-PER U
is VBZ B-VP O U
out RP B-PRT O U
through IN B-PP O U
illness NN B-NP O U
and CC O O U
vuste NNP B-NP B-PER M-2
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
dropped VBN I-VP O U
barh RB B-ADVP O M-2
row NN B-NP O U
Corrado NNP B-NP B-PER U
Covi NNP I-NP I-PER U
, , O O U
wli0 WP B-NP O M-2
had VBD B-VP O U
been VBN I-VP O U
recalled VBD B-VP O U
for IN B-PP O U
the DT B-NP O U
England NNP I-NP B-LOC U
game NN I-NP O U
aftcc IN B-PP O M-2
five CD B-NP O U
years NNS I-NP O U
oni IN B-PP O M-2
of IN B-PP O U
the DT B-NP O U
national JJ I-NP O U
team NN I-NP O U
. . O O U

yuititta NNP B-NP B-PER M-2
anuounccd VBD B-VP O M-2
his PRP$ B-NP O U
retirement NN I-NP O U
after IN B-PP O U
the DT B-NP O U
1995 CD I-NP B-MISC U
Wpr!d NNP I-NP I-MISC M-2
Cup NNP I-NP I-MISC U
, , O O U
where WRB B-ADVP O U
lio PRP B-NP O M-2
took VBD B-VP O U
issue NN B-NP O U
with IN B-PP O U
being VBG B-VP O U
dropped VBN I-VP O U
from IN B-PP O U
1ho DT B-NP O M-2
Italy NNP I-NP B-LOC U
side NN I-NP O U
ihaf WDT B-NP O M-2
faced VBD B-VP O U
England NNP B-NP B-LOC U
in IN B-PP O U
the DT B-NP O U
pool NN I-NP O U
stages NNS I-NP O U
. . O O U

Coste NNP B-NP B-PER U
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
approached VBN I-VP O U
the DT B-NP O U
player NN I-NP O U
two CD B-NP O U
months NNS I-NP O U
ago RB B-ADVP O U
about RB B-NP O U
u DT I-NP O M-1
comeback NN I-NP O U
. . O O U

" " O O U
mo PRP B-NP O M-2
eoaled VBD B-VP O M-2
the DT B-NP O U
rorlal NNP I-NP B-MISC M-2
Cup NNP I-NP I-MISC U
on IN B-PP O U
the DT B-NP O U
wrong JJ I-NP O U
note NN I-NP O U
, , O O U
" " O O U
Coste NNP B-NP B-PER U
said VBD B-VP O U
. . O O U

" " O O U
I PRP B-NP O U
thought VBD B-VP O U
it PRP B-NP O U
mou!d MD B-VP O M-2
to VB I-VP O M-2
ucetul JJ B-ADJP O M-2
to TO B-VP O U
have VB I-VP O U
hjn PRP B-NP O M-2
back RB B-ADVP O U
and CC O O U
he PRP B-NP O U
sujd VBD B-VP O M-2
he PRP B-NP O U
would MD B-VP O U
be VB I-VP O U
available JJ B-ADJP O U
. . O O U

I PRP B-NP O U
think VBP B-VP O U
now RB I-VP O U
ta VBZ I-VP O M-2
the DT B-NP O U
right JJ I-NP O U
tthe NN I-NP O M-2
for IN B-SBAR O U
him PRP B-NP O U
ic TO B-VP O M-2
return VB I-VP O U
. . O O U
" " O O U

Squad VB B-VP O U
: : O O U
Javier NNP B-NP B-PER U
Pertile NNP I-NP I-PER U
, , O O U
Paolo NNP B-NP B-PER U
Vaccari NNP I-NP I-PER U
, , O O U
Marcello NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U
, , O O U
Ivan NNP B-NP B-PER U
Francescato NNP I-NP I-PER U
, , O O U
Leandro NNP B-NP B-PER U
Manteri NNP I-NP I-PER U
, , O O U
Diego NNP B-NP B-PER U
Donlingvez NNP I-NP I-PER M-2
, , O O U
Francesco NNP B-NP B-PER U
Mszzario! NNP I-NP I-PER M-2
, , O O U
Alessandro NNP B-NP B-PER U
Troncon NNP I-NP I-PER U
, , O O U
Orazio NNP B-NP B-PER U
Arancio NNP I-NP I-PER U
, , O O U
Andrea NNP B-NP B-PER U
Sgorlon NNP I-NP I-PER U
, , O O U
Ma8sirao NNP B-NP B-PER M-2
Giovanelli NNP I-NP I-PER U
, , O O U
Carlo NNP B-NP B-PER U
Checchinato NNP I-NP I-PER U
, , O O U
Walter NNP B-NP B-PER U
Cristofoletto NNP I-NP I-PER U
, , O O U
Fmnco NNP B-NP B-PER M-2
Properzi NNP I-NP I-PER U
Curti NNP I-NP I-PER U
, , O O U
Csr!o NNP B-NP B-PER M-2
Orlandi NNP I-NP I-PER U
, , O O U
Massimo NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U
, , O O U
Giambafisfa NNP B-NP B-PER M-2
Croci NNP I-NP I-PER U
, , O O U
Gisriluca NNP B-NP B-PER M-2
Guidi NNP I-NP I-PER U
, , O O U
Nicola NNP B-NP B-PER U
Mazzucato NNP I-NP I-PER U
, , O O U
Alessandro NNP B-NP B-PER U
ho9cardi NNP I-NP I-PER M-2
, , O O U
Andrea NNP B-NP B-PER U
Castellani NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

SOCCER NN B-NP O U
- : O O U
LATE JJ B-NP O U
GOALS NNS I-NP O U
GIVE VBP B-VP O U
JAPAN NNP B-NP B-LOC U
WIN NNP I-NP O U
OVER IN B-PP O U
SYRIA NNP B-NP B-LOC U
. . O O U

AL-AIN NNP B-NP B-LOC U
, , O O U
United NNP B-NP B-LOC U
Arab NNP I-NP I-LOC U
Emirates NNPS I-NP I-LOC U
1996-12-06 CD I-NP O U

Two CD B-NP O U
gosl5 NNS I-NP O M-2
jh IN B-PP O M-2
the DT B-NP O U
last JJ I-NP O U
ciu CD I-NP O M-2
minutes NNS I-NP O U
gayc VBD B-VP O M-2
holders NNS B-NP O U
Japan NNP I-NP B-LOC U
an DT B-NP O U
uninspiring JJ I-NP O U
2-1 CD I-NP O U
Asian NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
yistory NN I-NP O M-2
bvec IN B-PP O M-2
Syria NNP B-NP B-LOC U
on IN B-PP O U
Friday NNP B-NP O U
. . O O U

Tahuyu NNP B-NP B-PER M-2
Yskagi NNP I-NP I-PER M-2
headed VBD B-VP O U
the DT B-NP O U
wirrier NN I-NP O M-2
in IN B-PP O U
the DT B-NP O U
88th JJ I-NP O U
minute NN I-NP O U
of IN B-PP O U
tkc DT B-NP O M-2
group NN I-NP O U
C NNP I-NP O U
game NN I-NP O U
after IN B-PP O U
goalkeeper NN B-NP O U
Salem NNP I-NP B-PER U
Bitar NNP I-NP I-PER U
spoiled JJ I-NP O U
a DT I-NP O U
mistake-free NN I-NP O U
display NN I-NP O U
by IN B-PP O U
al!nwing VBG B-VP O M-2
the DT B-NP O U
ball NN I-NP O U
to TO B-VP O U
slip VB I-VP O U
under IN B-PP O U
his PRP$ B-NP O U
body NN I-NP O U
. . O O U

It PRP B-NP O U
wuc VBD B-VP O M-2
tlic DT B-NP O M-2
scrond JJ I-NP O M-2
3ynian JJ I-NP B-MISC M-2
defensive JJ I-NP O U
blunder NN I-NP O U
in IN B-PP O U
four CD B-NP O U
minutcc NNS I-NP O M-2
. . O O U

Oetender NNP B-NP O M-2
Hassan NNP I-NP B-PER U
Abbas NNP I-NP I-PER U
rose VBD B-VP O U
to TO I-VP O U
intercept VB I-VP O U
a DT B-NP O U
lunp JJ I-NP O M-2
ball NN I-NP O U
into IN B-PP O U
iho DT B-NP O M-2
area NN I-NP O U
in IN B-PP O U
the DT B-NP O U
84th JJ I-NP O U
minute NN I-NP O U
but CC O O U
only RB B-ADVP O U
managed VBD B-VP O U
to TO I-VP O U
divert VB I-VP O U
it PRP B-NP O U
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
ceroer NN I-NP O M-2
of IN B-PP O U
Bitar NN B-NP B-PER U
's POS B-NP O U
goal NN I-NP O U
. . O O U

Syria NNP B-NP B-LOC U
had VBD B-VP O U
taken VBN I-VP O U
the DT B-NP O U
lead NN I-NP O U
from IN B-PP O U
their PRP$ B-NP O U
fic5t JJ I-NP O M-2
serious JJ I-NP O U
attack NN I-NP O U
in IN B-PP O U
1ne DT B-NP O M-2
seventh JJ I-NP O U
winuto NN I-NP O M-2
. . O O U

Nader NNP B-NP B-PER U
J6khudar NNP I-NP I-PER M-2
headed VBD B-VP O U
a DT B-NP O U
cross NN I-NP O U
from IN B-PP O U
the DT B-NP O U
right NN I-NP O U
by IN B-PP O U
Ammar NNP B-NP B-PER U
Awad NNP I-NP I-PER U
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
njght NN I-NP O M-2
corner NN I-NP O U
6t IN B-PP O M-2
Kenichi NNP B-NP B-PER U
Shimokawa NNP I-NP I-PER U
's POS B-NP O U
goal NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
then RB B-ADVP O U
laid VBD B-VP O U
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
pena!iy NN I-NP O M-2
area NN I-NP O U
and CC O O U
had VBD B-VP O U
a DT B-NP O U
goal NN I-NP O U
disallowed VBD B-VP O U
l6r IN B-PP O M-2
offside NN B-ADVP O U
tu IN B-PP O M-2
the DT B-NP O U
16th JJ I-NP O U
mirvte NN I-NP O M-2
. . O O U

A DT B-NP O U
mioufe NN I-NP O M-2
later RB B-ADVP O U
, , O O U
Bitar NN B-NP B-PER U
produced VBD B-VP O U
a DT B-NP O U
buod JJ I-NP O M-2
douo!e JJ I-NP O M-2
save VB B-VP O U
, , O O U
first JJ B-NP O U
from IN B-PP O U
Kszuyo9hi NNP B-NP B-PER M-2
Miura NNP I-NP I-PER U
v5 POS B-NP O M-2
header NN I-NP O U
and CC O O U
1heo RB B-VP O M-2
blocked VBN I-VP O U
a DT B-NP O U
Takagi NNP I-NP B-PER U
follow-up JJ I-NP O U
shot NN I-NP O U
. . O O U

Bitar JJ B-NP B-PER U
saved JJ I-NP O U
well NN I-NP O U
agajr RB B-ADVP O M-2
from IN B-PP O U
Mluca NNP B-NP B-PER M-2
in IN B-PP O U
1hc DT B-NP O M-2
37th JJ I-NP O U
minute NN I-NP O U
, , O O U
psrryirg VBG B-VP O M-2
away RB B-ADVP O U
his PRP$ B-NP O U
lieadcr NN I-NP O M-2
from IN B-PP O U
a DT B-NP O U
oorncr NN I-NP O M-2
. . O O U

Japan NNP B-NP B-LOC U
started VBD B-VP O U
the DT B-NP O U
second JJ I-NP O U
half NN I-NP O U
brtght!y RB B-ADVP O M-2
but CC O O U
Bitar NNP B-NP B-PER U
deuicd VBD B-VP O M-2
them PRP B-NP O U
an DT B-NP O U
equaliser NN I-NP O U
when WRB B-ADVP O U
he PRP B-NP O U
dived VBD B-VP O U
to TO B-PP O U
his PRP$ B-NP O U
rjgh1 NN I-NP O M-2
to TO B-VP O U
ssvo VB I-VP O M-2
Naoki NNP B-NP B-PER U
S0mu NNP I-NP I-PER M-2
b9 POS B-NP O M-2
low JJ I-NP O U
drive NN I-NP O U
in IN B-PP O U
ihc DT B-NP O M-2
5vcd CD I-NP O M-2
minute NN I-NP O U
. . O O U

Jaoun NNP B-NP B-LOC M-2
: : O O U
19 CD B-NP O U
- : I-NP O U
Kenichi NNP I-NP B-PER U
Shimokawa NNP I-NP I-PER U
, , O O U
2 CD B-NP O U
- : I-NP O U
Hiroshige NNP I-NP B-PER U
Yanagimoto NNP I-NP I-PER U
, , O O U
3 CD B-NP O U
- : I-NP O U
Naoki NNP B-NP B-PER U
Soma NNP I-NP I-PER U
, , O O U
4 CD B-NP O U
- : I-NP O U
Masami NNP I-NP B-PER U
Ihara NNP I-NP I-PER U
, , O O U
5 CD B-NP O U
- : I-NP O U
Norio NNP I-NP B-PER U
Omura NNP I-NP I-PER U
, , O O U
6 CD B-NP O U
- : I-NP O U
Motohiro NNP I-NP B-PER U
Yamaguchi NNP I-NP I-PER U
, , O O U
8 CD B-NP O U
- : I-NP O U
Masaklvo NNP I-NP B-PER M-2
Maezono NNP I-NP I-PER U
( ( O O U
m CD B-NP O M-1
- : I-NP O U
Yasuto NNP I-NP B-PER U
Honda NNP I-NP I-PER U
71 CD I-NP O U
) ) O O U
, , O O U
9 CD B-NP O U
- : I-NP O U
Takuya NNP I-NP B-PER U
Takagi NNP I-NP I-PER U
, , O O U
10 CD B-NP O U
- : I-NP O U
Hiroshi NNP I-NP B-PER U
iansmi NNP I-NP I-PER M-2
, , O O U
ja CD B-NP O M-2
- : I-NP O U
Kazuyoshi NNP I-NP B-PER U
Miura NNP I-NP I-PER U
, , O O U
15 CD B-NP O U
- : I-NP O U
Hiroaki NNP I-NP B-PER U
Morishima NNP I-NP I-PER U
( ( O O U
14 CD B-NP O U
- : I-NP O U
Masayuki NNP I-NP B-PER U
Okano NNP I-NP I-PER U
75 CD I-NP O U
) ) O O U
. . O O U

Syria NNP B-NP B-LOC U
: : O O U
24 CD B-NP O U
- : I-NP O U
Salem NNP I-NP B-PER U
0itur NNP I-NP I-PER M-2
, , O O U
d CD B-NP O M-1
- : I-NP O U
Bachar NNP I-NP B-PER U
Srour NNP I-NP I-PER U
; : O O U
4 CD B-NP O U
- : I-NP O U
Hassan NNP I-NP B-PER U
Abbas NNP I-NP I-PER U
, , O O U
5 CD B-NP O U
- : I-NP O U
Tarek NNP I-NP B-PER U
Jubbah NNP I-NP I-PER M-2
, , O O U
e CD B-NP O M-1
- : I-NP O U
Ammar NNP I-NP B-PER U
Awad NNP I-NP I-PER U
( ( O O U
9 CD B-NP O U
- : I-NP O U
1ouav JJ I-NP B-PER M-2
Taleb NNP I-NP I-PER U
69 CD I-NP O U
) ) O O U
, , O O U
n CD B-NP O M-1
- : I-NP O U
Nihad NNP I-NP B-PER U
al-Boushi NNS I-NP I-PER U
, , O O U
10 CD B-NP O U
- : I-NP O U
pchammed NNP I-NP B-PER M-2
Afash NNP I-NP I-PER U
, , O O U
12 CD B-NP O U
- : I-NP O U
Ali NNP I-NP B-PER U
Dib NNP I-NP I-PER U
, , O O U
13 CD B-NP O U
- : I-NP O U
Abdul NNP I-NP B-PER U
Latif NNP I-NP I-PER U
Helou NNP I-NP I-PER U
( ( O O U
17 CD B-NP O U
- : I-NP O U
Ammar NNP I-NP B-PER U
Rihawiy NNP I-NP I-PER U
46 CD I-NP O U
) ) O O U
, , O O U
14 CD B-NP O U
- : I-NP O U
Khaled VBD B-VP B-PER U
Zaher NNP B-NP I-PER U
; : O O U
16 CD B-NP O U
- : I-NP O U
Nader NNP I-NP B-PER U
Jokhadar NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

FREESTYLE NNP B-NP O U
SKIING-WORLD NNP I-NP B-MISC U
CUP NNP I-NP I-MISC U
MOGUL NNP I-NP O U
RESilLT3 NNS I-NP O M-2
. . O O U

YIGNE3 NNP B-NP B-LOC M-2
, , O O U
France NNP B-NP B-LOC U
1996l12-b6 CD I-NP O M-2

Results NNS B-NP O U
of IN B-PP O U
the DT B-NP O U
World NNP I-NP B-MISC U
knp NNP I-NP I-MISC M-2

fnee9tyle JJ B-NP O M-2
skiing NN I-NP O U
moguls NNS I-NP O U
competition NN I-NP O U
on IN B-PP O U
Friday NNP B-NP O U
: : O O U

Men NN B-NP O U

kr CD B-NP O M-2
Jesper NNP I-NP B-PER U
Ronobach NNP I-NP I-PER M-2
( ( O O U
Sweleh NNP B-NP B-LOC M-2
) ) O O U
25.76 CD B-NP O U
points NNS I-NP O U

xa CD B-NP O M-2
Andrei NNP B-NP B-PER U
Ivanov NNP I-NP I-PER U
( ( O O U
Russju NNP B-NP B-LOC M-2
) ) O O U
24.88 CD B-NP O U

3. NNP B-NP O U
Ryan NNP I-NP B-PER U
Johnson NNP I-NP I-PER U
( ( O O U
Canada NNP B-NP B-LOC U
) ) O O U
