-DOCSTART- -X- -X- O U
cross VB B-VP O U
towards IN B-PP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
goal NN I-NP O U
which WDT B-NP O U
gbdkeeper VBD B-VP O M-3
Salem NNP B-NP B-PER U
Bitar NNP I-NP I-PER U
appeared VBD B-VP O U
to TO I-VP O U
have VB I-VP O U
cnyereal VBN I-VP O M-3
but CC O O U
ilieri RB B-VP O M-3
allowed VBN I-VP O U
fp TO I-VP O M-2
slip VB I-VP O U
into IN B-PP O U
the DT B-NP O U
net NN I-NP O U
. . O O U

It PRP B-NP O U
was VBD B-VP O U
fkc DT B-NP O M-3
second JJ I-NP O U
costly JJ I-NP O U
blunder NN I-NP O U
hv IN B-PP O M-2
Syria NNP B-NP B-LOC U
in IN B-PP O U
four CD B-NP O U
minutes NNS I-NP O U
. . O O U

Defender NNP B-NP O U
Hassan NNP I-NP B-PER U
Abbas NNP I-NP I-PER U
rose VBD B-VP O U
fq TO I-VP O M-2
intercept VB I-VP O U
a DT B-NP O U
long JJ I-NP O U
ball NN I-NP O U
into IN B-PP O U
1lic DT B-NP O M-3
acos NN I-NP O M-3
lri IN B-PP O M-2
1no DT B-NP O M-3
84th JJ I-NP O U
mirvie NN I-NP O M-3
but CC O O U
nri!y RB B-ADVP O M-3
managed VBD B-VP O U
to TO I-VP O U
divert VB I-VP O U
tf PRP B-NP O M-2
into IN B-PP O U
1nc DT B-NP O M-3
top JJ I-NP O U
corner NN I-NP O U
of IN B-PP O U
Bitar NN B-NP B-PER U
's POS B-NP O U
goal NN I-NP O U
. . O O U

Nader NNP B-NP B-PER U
Jokhadar NNP I-NP I-PER U
had VBD B-VP O U
given VBN I-VP O U
Syria NNP B-NP B-LOC U
the DT B-NP O U
lead NN I-NP O U
with IN B-PP O U
a DT B-NP O U
well-struck NN I-NP O U
header NN I-NP O U
in IN B-PP O U
the DT B-NP O U
seventh JJ I-NP O U
minute NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
then RB B-ADVP O U
laid VBD B-VP O U
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
pcna!iy NN I-NP O M-3
urou NN I-NP O M-3
for IN B-PP O U
most JJS B-NP O U
of IN B-PP O U
1nc DT B-NP O M-3
psrne NN I-NP O M-3
but CC O O U
rarely RB B-VP O U
breached VBD I-VP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
defence NN I-NP O U
. . O O U

Bitar NN B-NP B-PER U
pulled VBD B-VP O U
off RP B-PRT O U
fine JJ B-NP O U
9uve8 VBZ B-VP O M-3
whenever WRB B-ADVP O U
they PRP B-NP O U
did VBD B-VP O U
. . O O U

Japan NNP B-NP B-LOC U
coach NN I-NP O U
Shu NNP I-NP B-PER U
Kamo NNP I-NP I-PER U
said VBD B-VP O U
: : O O U
' '' O O U
' POS B-NP O U
Ybo DT I-NP O M-3
Syrian JJ I-NP B-MISC U
own JJ I-NP O U
goal NN I-NP O U
proved VBD B-VP O U
lucky JJ B-ADJP O U
for IN B-PP O U
us PRP B-NP O U
. . O O U

The DT B-NP O U
Syrians NNPS I-NP B-MISC U
scored VBD B-VP O U
ean!v JJ B-NP O M-3
and CC O O U
then RB B-VP O U
played VBN I-VP O U
defensively RB B-ADVP O U
and CC O O U
adopted VBD B-VP O U
long RB I-VP O U
hal!5 VBZ I-VP O M-3
which WDT B-NP O U
made VBD B-VP O U
it PRP B-NP O U
hard JJ B-ADJP O U
for IN B-PP O U
nc PRP B-NP O M-2
. . O O U
' '' O O U

' '' O O U

Japan NNP B-NP B-LOC U
, , O O U
co-hosts VBZ B-VP O U
of IN B-PP O U
the DT B-NP O U
World NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
in IN B-PP O U
2bby CD B-NP O M-3
ural CC O O M-3
mnkcd VBD B-VP O M-3
u01n JJ B-NP O M-3
tri IN B-PP O M-2
the DT B-NP O U
world NN I-NP O U
by IN B-PP O U
FIFA NNP B-NP B-ORG U
, , O O U
are VBP B-VP O U
favourites JJ B-ADJP O U
to TO B-VP O U
regain VB I-VP O U
their PRP$ B-NP O U
title NN I-NP O U
here RB B-ADVP O U
. . O O U

Hosts NNPS B-NP O U
UAE NNP I-NP B-LOC U
play NN I-NP O U
Kuwait NNP I-NP B-LOC U
and CC O O U
South NNP B-NP B-LOC U
Korea NNP I-NP I-LOC U
take VBP B-VP O U
on IN B-PP O U
Indonesia NNP B-NP B-LOC U
bu IN B-PP O M-2
Saturday NNP B-NP O U
lr IN B-PP O M-2
Group NNP B-NP O U
A NNP I-NP O U
matohc9 VBZ B-VP O M-3
. . O O U

All DT B-NP O U
four CD I-NP O U
teams NNS I-NP O U
are VBP B-VP O U
level NN B-NP O U
with IN B-PP O U
one CD B-NP O U
pqlni NN I-NP O M-3
euoli DT B-NP O M-3
from IN B-PP O U
one CD B-NP O U
game NN I-NP O U
. . O O U

-DOCSTART- -X- -X- O U

RUGBY NNP B-NP B-ORG U
UNION NN I-NP I-ORG U
- : O O U
CUTTITTA NNP B-NP B-PER U
BACK NNP I-NP O U
FOR IN B-PP O U
ITALY JJ B-NP B-LOC U
AFTER NNP I-NP O U
A NNP I-NP O U
TEzli NNP I-NP O M-3
. . O O U

ROME VB B-NP B-LOC U
1996-12-06 CD I-NP O U

Italy NNP B-NP B-LOC U
nerallcd VBD B-VP O M-3
Marcello NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U

on IN B-PP O U
Friday NNP B-NP O U
for IN B-PP O U
their PRP$ B-NP O U
friendly JJ I-NP O U
ugsinct IN B-PP O M-3
Scotland NNP B-NP B-LOC U
at IN B-PP O U
Murrayfield NNP B-NP B-LOC U
mqnc JJR B-ADJP O M-3
than IN B-PP O U
a DT B-NP O U
year NN I-NP O U
after IN B-PP O U
the DT B-NP O U
30tveac-old JJ I-NP O M-3
wing NN I-NP O U
announced VBD B-VP O U
he PRP B-NP O U
muc VBD B-VP O M-3
retiring VBG I-VP O U
fol!omiug VBG B-PP O M-3
diflonences NNS B-NP O M-3
over IN B-PP O U
selection NN B-NP O U
. . O O U

Cuttitta NNP B-NP B-PER U
, , O O U
who WP B-NP O U
trainer NN I-NP O U
George NNP I-NP B-PER U
Coste NNP I-NP I-PER U
fsil VBD B-VP O M-3
was VBD B-VP O U
ceciaiu JJ B-ADJP O M-3
to TO B-VP O U
play VB I-VP O U
on IN B-PP O U
Saturday NNP B-NP O U
week NN I-NP O U
, , O O U
was VBD B-VP O U
named VBN I-VP O U
lu IN B-PP O M-2
a DT B-NP O U
21-man JJ I-NP O U
squad NN I-NP O U
!sckine VBG B-VP O M-3
only RB B-NP O U
two CD I-NP O U
of IN B-PP O U
1kc DT B-NP O M-3
team NN I-NP O U
beaten VBN B-VP O U
54-21 JJ B-ADJP O U
by IN B-PP O U
England NNP B-NP B-LOC U
at IN B-PP O U
Twickenham NNP B-NP B-LOC U
last JJ B-NP O U
month NN I-NP O U
. . O O U

Stefano NNP B-NP B-PER U
Bordon NNP I-NP I-PER U
is VBZ B-VP O U
out RP B-PRT O U
through IN B-PP O U
illness NN B-NP O U
sual CC O O M-3
Coste NNP B-NP B-PER U
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
lnoppeal VBN I-VP O M-3
back RB B-ADVP O U
row NN B-NP O U
Corrado NNP B-NP B-PER U
Covi NNP I-NP I-PER U
, , O O U
who WP B-NP O U
had VBD B-VP O U
been VBN I-VP O U
recalled VBD B-VP O U
lbn IN B-PP O M-3
the DT B-NP O U
England NNP I-NP B-LOC U
game NN I-NP O U
after IN B-PP O U
five CD B-NP O U
years NNS I-NP O U
out IN B-PP O U
of IN B-PP O U
the DT B-NP O U
national JJ I-NP O U
team NN I-NP O U
. . O O U

Cuttitta NNP B-NP B-PER U
announced VBD B-VP O U
his PRP$ B-NP O U
refinemcnt NN I-NP O M-3
after IN B-PP O U
the DT B-NP O U
1995 CD I-NP B-MISC U
World NNP I-NP I-MISC U
Cup NNP I-NP I-MISC U
, , O O U
where WRB B-ADVP O U
lio PRP B-NP O M-2
took VBD B-VP O U
issue NN B-NP O U
mtfh IN B-PP O M-3
being VBG B-VP O U
lropoel VBN I-VP O M-3
from IN B-PP O U
the DT B-NP O U
Italy NNP I-NP B-LOC U
5tdo NN I-NP O M-3
that WDT B-NP O U
faced VBD B-VP O U
England NNP B-NP B-LOC U
in IN B-PP O U
1lio DT B-NP O M-3
o0ql NN I-NP O M-3
stages NNS I-NP O U
. . O O U

Coste NNP B-NP B-PER U
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
approseheal VBN I-VP O M-3
the DT B-NP O U
player NN I-NP O U
two CD B-NP O U
months NNS I-NP O U
ago RB B-ADVP O U
about RB B-NP O U
a DT I-NP O U
comeback NN I-NP O U
. . O O U

" " O O U
mo PRP B-NP O M-2
ended VBD B-VP O U
1ko DT B-NP O M-3
World NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
on IN B-PP O U
the DT B-NP O U
wrong JJ I-NP O U
note NN I-NP O U
, , O O U
" " O O U
Coste NNP B-NP B-PER U
said VBD B-VP O U
. . O O U

" " O O U
I PRP B-NP O U
tbouthf VBD B-VP O M-3
it PRP B-NP O U
would MD B-VP O U
be VB I-VP O U
v9efu! JJ B-ADJP O M-3
to TO B-VP O U
nauc VB I-VP O M-3
him PRP B-NP O U
back RB B-ADVP O U
uoal CC O O M-3
he PRP B-NP O U
said VBD B-VP O U
lio PRP B-NP O M-2
would MD B-VP O U
be VB I-VP O U
available JJ B-ADJP O U
. . O O U

I PRP B-NP O U
think VBP B-VP O U
now RB I-VP O U
is VBZ I-VP O U
the DT B-NP O U
right JJ I-NP O U
time NN I-NP O U
for IN B-SBAR O U
him PRP B-NP O U
to TO B-VP O U
return VB I-VP O U
. . O O U
" " O O U

Squad VB B-VP O U
: : O O U
Javier NNP B-NP B-PER U
Pertile NNP I-NP I-PER U
, , O O U
Paolo NNP B-NP B-PER U
Vaccari NNP I-NP I-PER U
, , O O U
Marcello NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U
, , O O U
Ivan NNP B-NP B-PER U
Francescato NNP I-NP I-PER U
, , O O U
Leandro NNP B-NP B-PER U
Manteri NNP I-NP I-PER U
, , O O U
Diego NNP B-NP B-PER U
Dominguez NNP I-NP I-PER U
, , O O U
Francesco NNP B-NP B-PER U
Mazzariol NNP I-NP I-PER U
, , O O U
Alessandro NNP B-NP B-PER U
Troncon NNP I-NP I-PER U
, , O O U
Orazio NNP B-NP B-PER U
Arancio NNP I-NP I-PER U
, , O O U
Andrea NNP B-NP B-PER U
Sgorlon NNP I-NP I-PER U
, , O O U
Massimo NNP B-NP B-PER U
Giovanelli NNP I-NP I-PER U
, , O O U
Carlo NNP B-NP B-PER U
Checchinato NNP I-NP I-PER U
, , O O U
Walter NNP B-NP B-PER U
Cristofoletto NNP I-NP I-PER U
, , O O U
Franco NNP B-NP B-PER U
Properzi NNP I-NP I-PER U
Curti NNP I-NP I-PER U
, , O O U
Carlo NNP B-NP B-PER U
Orlandi NNP I-NP I-PER U
, , O O U
Massimo NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U
, , O O U
Giambatista NNP B-NP B-PER U
Croci NNP I-NP I-PER U
, , O O U
Gianluca NNP B-NP B-PER U
Guidi NNP I-NP I-PER U
, , O O U
Nicola NNP B-NP B-PER U
Mazzucato NNP I-NP I-PER U
, , O O U
Alessandro NNP B-NP B-PER U
Moscardi NNP I-NP I-PER U
, , O O U
Andrea NNP B-NP B-PER U
Castellani NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

SOCCER NN B-NP O U
- : O O U
LATE JJ B-NP O U
GOALS NNS I-NP O U
GIVE VBP B-VP O U
JAPAN NNP B-NP B-LOC U
tfq NNP I-NP O M-3
OVER IN B-PP O U
SYRIA NNP B-NP B-LOC U
. . O O U

AL-AIN NNP B-NP B-LOC U
, , O O U
United NNP B-NP B-LOC U
Arab NNP I-NP I-LOC U
Emirates NNPS I-NP I-LOC U
tr96n12-06 CD I-NP O M-3

Two CD B-NP O U
goals NNS I-NP O U
in IN B-PP O U
the DT B-NP O U
last JJ I-NP O U
six CD I-NP O U
mjna1es NNS I-NP O M-3
gave VBD B-VP O U
holders NNS B-NP O U
Japan NNP I-NP B-LOC U
an DT B-NP O U
uninspiring JJ I-NP O U
2-1 CD I-NP O U
Asian NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
victory NN I-NP O U
over IN B-PP O U
Syria NNP B-NP B-LOC U
on IN B-PP O U
Friday NNP B-NP O U
. . O O U

Takuya NNP B-NP B-PER U
Takagi NNP I-NP I-PER U
headed VBD B-VP O U
the DT B-NP O U
winner NN I-NP O U
in IN B-PP O U
ilic DT B-NP O M-3
88th JJ I-NP O U
minute NN I-NP O U
of IN B-PP O U
ikc DT B-NP O M-3
group NN I-NP O U
C NNP I-NP O U
game NN I-NP O U
after IN B-PP O U
goalkeeper NN B-NP O U
Salem NNP I-NP B-PER U
Bitar NNP I-NP I-PER U
sooUed JJ I-NP O M-3
a DT I-NP O U
mistake-free NN I-NP O U
display NN I-NP O U
by IN B-PP O U
ul!ewing VBG B-VP O M-3
flic DT B-NP O M-3
ball NN I-NP O U
iq TO B-VP O M-2
slip VB I-VP O U
uhalcr IN B-PP O M-3
his PRP$ B-NP O U
hbdv NN I-NP O M-3
. . O O U

It PRP B-NP O U
was VBD B-VP O U
the DT B-NP O U
second JJ I-NP O U
Syrian JJ I-NP B-MISC U
defensive JJ I-NP O U
blunder NN I-NP O U
jr IN B-PP O M-2
four CD B-NP O U
mlriutef NNS I-NP O M-3
. . O O U

Defender NNP B-NP O U
Hassan NNP I-NP B-PER U
Abbas NNP I-NP I-PER U
n0so VBD B-VP O M-3
to TO I-VP O U
intercept VB I-VP O U
a DT B-NP O U
long JJ I-NP O U
ball NN I-NP O U
into IN B-PP O U
fkc DT B-NP O M-3
area NN I-NP O U
in IN B-PP O U
the DT B-NP O U
84th JJ I-NP O U
minn1c NN I-NP O M-3
but CC O O U
only RB B-ADVP O U
managed VBD B-VP O U
to TO I-VP O U
divert VB I-VP O U
it PRP B-NP O U
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
corner NN I-NP O U
of IN B-PP O U
Bitar NN B-NP B-PER U
's POS B-NP O U
goal NN I-NP O U
. . O O U

Syria NNP B-NP B-LOC U
had VBD B-VP O U
taken VBN I-VP O U
ibc DT B-NP O M-3
lead NN I-NP O U
from IN B-PP O U
their PRP$ B-NP O U
first JJ I-NP O U
serious JJ I-NP O U
s1fack NN I-NP O M-3
in IN B-PP O U
ino DT B-NP O M-3
scvontb JJ I-NP O M-3
mjnuic NN I-NP O M-3
. . O O U

Nader NNP B-NP B-PER U
Jokhadar NNP I-NP I-PER U
headed VBD B-VP O U
a DT B-NP O U
cross NN I-NP O U
from IN B-PP O U
the DT B-NP O U
right NN I-NP O U
by IN B-PP O U
Ammar NNP B-NP B-PER U
Awad NNP I-NP I-PER U
ihie IN B-PP O M-3
the DT B-NP O U
top JJ I-NP O U
right NN I-NP O U
corner NN I-NP O U
of IN B-PP O U
Kenichi NNP B-NP B-PER U
Shimokawa NNP I-NP I-PER U
's POS B-NP O U
goal NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
then RB B-ADVP O U
laid VBD B-VP O U
siege NN B-NP O U
fc TO B-PP O M-2
the DT B-NP O U
Syrian JJ I-NP B-MISC U
penalty NN I-NP O U
area NN I-NP O U
and CC O O U
had VBD B-VP O U
a DT B-NP O U
goal NN I-NP O U
disallowed VBD B-VP O U
for IN B-PP O U
offside NN B-ADVP O U
in IN B-PP O U
the DT B-NP O U
16th JJ I-NP O U
minute NN I-NP O U
. . O O U

A DT B-NP O U
minute NN I-NP O U
lsior RB B-ADVP O M-3
, , O O U
Bitar NN B-NP B-PER U
produced VBD B-VP O U
a DT B-NP O U
co0al JJ I-NP O M-3
double JJ I-NP O U
8ayc VB B-VP O M-3
, , O O U
first JJ B-NP O U
from IN B-PP O U
Kazuyoshi NNP B-NP B-PER U
Miura NNP I-NP I-PER U
da POS B-NP O M-2
header NN I-NP O U
soal CC O O M-3
then RB B-VP O U
blocked VBN I-VP O U
a DT B-NP O U
Takagi NNP I-NP B-PER U
follow-up JJ I-NP O U
shot NN I-NP O U
. . O O U

Bitar JJ B-NP B-PER U
saved JJ I-NP O U
mol! NN I-NP O M-3
again RB B-ADVP O U
from IN B-PP O U
Miura NNP B-NP B-PER U
in IN B-PP O U
fno DT B-NP O M-3
37th JJ I-NP O U
minute NN I-NP O U
, , O O U
parrying VBG B-VP O U
smav RB B-ADVP O M-3
his PRP$ B-NP O U
header NN I-NP O U
from IN B-PP O U
s DT B-NP O M-1
corner NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
8tartol VBD B-VP O M-3
the DT B-NP O U
second JJ I-NP O U
half NN I-NP O U
brightly RB B-ADVP O U
but CC O O U
Bitar NNP B-NP B-PER U
denied VBD B-VP O U
flicm PRP B-NP O M-3
an DT B-NP O U
equaliser NN I-NP O U
when WRB B-ADVP O U
he PRP B-NP O U
djvcal VBD B-VP O M-3
to TO B-PP O U
his PRP$ B-NP O U
right NN I-NP O U
to TO B-VP O U
save VB I-VP O U
Naoki NNP B-NP B-PER U
Soma NNP I-NP I-PER U
's POS B-NP O U
!0m JJ I-NP O M-3
drive NN I-NP O U
in IN B-PP O U
flio DT B-NP O M-3
53rd CD I-NP O U
minute NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
: : O O U
19 CD B-NP O U
- : I-NP O U
Kenichi NNP I-NP B-PER U
Shimokawa NNP I-NP I-PER U
, , O O U
2 CD B-NP O U
- : I-NP O U
Hiroshige NNP I-NP B-PER U
Yanagimoto NNP I-NP I-PER U
, , O O U
3 CD B-NP O U
- : I-NP O U
Naoki NNP B-NP B-PER U
Soma NNP I-NP I-PER U
, , O O U
4 CD B-NP O U
- : I-NP O U
Masami NNP I-NP B-PER U
Ihara NNP I-NP I-PER U
, , O O U
5 CD B-NP O U
- : I-NP O U
Norio NNP I-NP B-PER U
Omura NNP I-NP I-PER U
, , O O U
6 CD B-NP O U
- : I-NP O U
Motohiro NNP I-NP B-PER U
Yamaguchi NNP I-NP I-PER U
, , O O U
8 CD B-NP O U
- : I-NP O U
Masakiyo NNP I-NP B-PER U
Maezono NNP I-NP I-PER U
( ( O O U
m CD B-NP O M-1
- : I-NP O U
Yasuto NNP I-NP B-PER U
Honda NNP I-NP I-PER U
zb CD I-NP O M-2
) ) O O U
, , O O U
9 CD B-NP O U
- : I-NP O U
Takuya NNP I-NP B-PER U
Takagi NNP I-NP I-PER U
, , O O U
10 CD B-NP O U
- : I-NP O U
Hiroshi NNP I-NP B-PER U
Nanami NNP I-NP I-PER U
, , O O U
yo CD B-NP O M-2
- : I-NP O U
Kazuyoshi NNP I-NP B-PER U
Miura NNP I-NP I-PER U
, , O O U
15 CD B-NP O U
- : I-NP O U
Hiroaki NNP I-NP B-PER U
Morishima NNP I-NP I-PER U
( ( O O U
14 CD B-NP O U
- : I-NP O U
Masayuki NNP I-NP B-PER U
Okano NNP I-NP I-PER U
yf CD I-NP O M-2
) ) O O U
. . O O U

Syria NNP B-NP B-LOC U
: : O O U
24 CD B-NP O U
- : I-NP O U
Salem NNP I-NP B-PER U
Bitar NNP I-NP I-PER U
, , O O U
g CD B-NP O M-1
- : I-NP O U
Bachar NNP I-NP B-PER U
Srour NNP I-NP I-PER U
; : O O U
4 CD B-NP O U
- : I-NP O U
Hassan NNP I-NP B-PER U
Abbas NNP I-NP I-PER U
, , O O U
e CD B-NP O M-1
- : I-NP O U
Tarek NNP I-NP B-PER U
Jabban NNP I-NP I-PER U
, , O O U
6 CD B-NP O U
- : I-NP O U
Ammar NNP I-NP B-PER U
Awad NNP I-NP I-PER U
( ( O O U
9 CD B-NP O U
- : I-NP O U
Louay JJ I-NP B-PER U
Taleb NNP I-NP I-PER U
69 CD I-NP O U
) ) O O U
, , O O U
d CD B-NP O M-1
- : I-NP O U
Nihad NNP I-NP B-PER U
al-Boushi NNS I-NP I-PER U
, , O O U
10 CD B-NP O U
- : I-NP O U
Mohammed NNP I-NP B-PER U
Afash NNP I-NP I-PER U
, , O O U
12 CD B-NP O U
- : I-NP O U
Ali NNP I-NP B-PER U
Dib NNP I-NP I-PER U
, , O O U
13 CD B-NP O U
- : I-NP O U
Abdul NNP I-NP B-PER U
Latif NNP I-NP I-PER U
Helou NNP I-NP I-PER U
( ( O O U
17 CD B-NP O U
- : I-NP O U
Ammar NNP I-NP B-PER U
Rihawiy NNP I-NP I-PER U
46 CD I-NP O U
) ) O O U
, , O O U
14 CD B-NP O U
- : I-NP O U
Khaled VBD B-VP B-PER U
Zaher NNP B-NP I-PER U
; : O O U
16 CD B-NP O U
- : I-NP O U
Nader NNP I-NP B-PER U
Jokhadar NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

FREESTYLE NNP B-NP O U
SKIING-WORLD NNP I-NP B-MISC U
CUP NNP I-NP I-MISC U
MOGUL NNP I-NP O U
RGSUIYS NNS I-NP O M-3
. . O O U

TIGNES NNP B-NP B-LOC U
, , O O U
France NNP B-NP B-LOC U
1996-12-06 CD I-NP O U

Ro9ulta NNS B-NP O M-3
of IN B-PP O U
iko DT B-NP O M-3
World NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U

freestyle JJ B-NP O U
skiing NN I-NP O U
moguls NNS I-NP O U
competition NN I-NP O U
on IN B-PP O U
Enidsy NNP B-NP O M-3
: : O O U

Men NN B-NP O U

1. CD B-NP O U
Jesper NNP I-NP B-PER U
Ronnback NNP I-NP I-PER U
( ( O O U
Sweden NNP B-NP B-LOC U
) ) O O U
25.76 CD B-NP O U
points NNS I-NP O U

2. CD B-NP O U
Andrei NNP B-NP B-PER U
Ivanov NNP I-NP I-PER U
( ( O O U
Russia NNP B-NP B-LOC U
) ) O O U
24.88 CD B-NP O U

3. NNP B-NP O U
Ryan NNP I-NP B-PER U
Johnson NNP I-NP I-PER U
( ( O O U
Canada NNP B-NP B-LOC U
) ) O O U
w4s5r CD B-NP O M-3

4. CD B-NP O U
Jean-Luc NNP I-NP B-PER U
Brassard NNP I-NP I-PER U
( ( O O U
Canada NNP B-NP B-LOC U
) ) O O U
24.40 CD B-NP O U

5. CD B-NP O U
Korneilus NNP I-NP B-PER U
