-DOCSTART- -X- -X- O U
Syrian JJ I-NP B-MISC U
goal NN I-NP O U
which WDT B-NP O U
goalkeeper VBD B-VP O U
3dem NNP B-NP B-PER M-3
Bliur NNP I-NP I-PER M-3
appeared VBD B-VP O U
to TO I-VP O U
have VB I-VP O U
covered VBN I-VP O U
but CC O O U
then RB B-VP O U
allowed VBN I-VP O U
to TO I-VP O U
slip VB I-VP O U
into IN B-PP O U
the DT B-NP O U
net NN I-NP O U
. . O O U

It PRP B-NP O U
was VBD B-VP O U
the DT B-NP O U
second JJ I-NP O U
costly JJ I-NP O U
blunder NN I-NP O U
by IN B-PP O U
Syria NNP B-NP B-LOC U
in IN B-PP O U
four CD B-NP O U
minutes NNS I-NP O U
. . O O U

Defender NNP B-NP O U
Hasfur NNP I-NP B-PER M-3
kbtss NNP I-NP I-PER M-3
rose VBD B-VP O U
to TO I-VP O U
intercept VB I-VP O U
a DT B-NP O U
long JJ I-NP O U
ball NN I-NP O U
into IN B-PP O U
the DT B-NP O U
area NN I-NP O U
in IN B-PP O U
the DT B-NP O U
84th JJ I-NP O U
minute NN I-NP O U
but CC O O U
only RB B-ADVP O U
managed VBD B-VP O U
to TO I-VP O U
divert VB I-VP O U
it PRP B-NP O U
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
corner NN I-NP O U
of IN B-PP O U
Blfur NN B-NP B-PER M-3
's POS B-NP O U
goal NN I-NP O U
. . O O U

Nsalor NNP B-NP B-PER M-3
Johkadur NNP I-NP I-PER M-3
had VBD B-VP O U
given VBN I-VP O U
3yna NNP B-NP B-LOC M-3
the DT B-NP O U
lead NN I-NP O U
with IN B-PP O U
a DT B-NP O U
well-struck NN I-NP O U
header NN I-NP O U
in IN B-PP O U
the DT B-NP O U
seventh JJ I-NP O U
minute NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
then RB B-ADVP O U
laid VBD B-VP O U
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Svrtsn JJ I-NP B-MISC M-3
penalty NN I-NP O U
area NN I-NP O U
for IN B-PP O U
most JJS B-NP O U
of IN B-PP O U
the DT B-NP O U
game NN I-NP O U
but CC O O U
rarely RB B-VP O U
breached VBD I-VP O U
the DT B-NP O U
3vriun JJ I-NP B-MISC M-3
defence NN I-NP O U
. . O O U

Bjiac NN B-NP B-PER M-3
pulled VBD B-VP O U
off RP B-PRT O U
fine JJ B-NP O U
saves VBZ B-VP O U
whenever WRB B-ADVP O U
they PRP B-NP O U
did VBD B-VP O U
. . O O U

laoari NNP B-NP B-LOC M-3
coach NN I-NP O U
3no NNP I-NP B-PER M-3
Rsnlo NNP I-NP I-PER M-3
said VBD B-VP O U
: : O O U
' '' O O U
' POS B-NP O U
The DT I-NP O U
Sycisr JJ I-NP B-MISC M-3
own JJ I-NP O U
goal NN I-NP O U
proved VBD B-VP O U
lucky JJ B-ADJP O U
for IN B-PP O U
us PRP B-NP O U
. . O O U

The DT B-NP O U
3vrlans NNPS I-NP B-MISC M-3
scored VBD B-VP O U
early JJ B-NP O U
and CC O O U
then RB B-VP O U
played VBN I-VP O U
defensively RB B-ADVP O U
and CC O O U
adopted VBD B-VP O U
long RB I-VP O U
balls VBZ I-VP O U
which WDT B-NP O U
made VBD B-VP O U
it PRP B-NP O U
hard JJ B-ADJP O U
for IN B-PP O U
us PRP B-NP O U
. . O O U
' '' O O U

' '' O O U

lspah NNP B-NP B-LOC M-3
, , O O U
co-hosts VBZ B-VP O U
of IN B-PP O U
the DT B-NP O U
jor!l NNP I-NP B-MISC M-3
eoo NNP I-NP I-MISC M-3
in IN B-PP O U
2002 CD B-NP O U
and CC O O U
ranked VBD B-VP O U
20th JJ B-NP O U
in IN B-PP O U
the DT B-NP O U
world NN I-NP O U
by IN B-PP O U
pfFq NNP B-NP B-ORG M-3
, , O O U
are VBP B-VP O U
favourites JJ B-ADJP O U
to TO B-VP O U
regain VB I-VP O U
their PRP$ B-NP O U
title NN I-NP O U
here RB B-ADVP O U
. . O O U

Hosts NNPS B-NP O U
ilzB NNP I-NP B-LOC M-3
play NN I-NP O U
Rnmait NNP I-NP B-LOC M-3
and CC O O U
South NNP B-NP B-LOC U
Korea NNP I-NP I-LOC U
take VBP B-VP O U
on IN B-PP O U
Irialpnesia NNP B-NP B-LOC M-3
on IN B-PP O U
Saturday NNP B-NP O U
in IN B-PP O U
Group NNP B-NP O U
A NNP I-NP O U
matches VBZ B-VP O U
. . O O U

All DT B-NP O U
four CD I-NP O U
teams NNS I-NP O U
are VBP B-VP O U
level NN B-NP O U
with IN B-PP O U
one CD B-NP O U
point NN I-NP O U
each DT B-NP O U
from IN B-PP O U
one CD B-NP O U
game NN I-NP O U
. . O O U

-DOCSTART- -X- -X- O U

KUEBT NNP B-NP B-ORG M-3
UNION NN I-NP I-ORG U
- : O O U
CilYTfTTA NNP B-NP B-PER M-3
BACK NNP I-NP O U
FOR IN B-PP O U
LYjLY JJ B-NP B-LOC M-3
AFTER NNP I-NP O U
A NNP I-NP O U
YEAR NNP I-NP O U
. . O O U

ROME VB B-NP B-LOC U
1996-12-06 CD I-NP O U

Lia!y NNP B-NP B-LOC M-3
recalled VBD B-VP O U
Marcello NNP B-NP B-PER U
qutfiita NNP I-NP I-PER M-3

on IN B-PP O U
Friday NNP B-NP O U
for IN B-PP O U
their PRP$ B-NP O U
friendly JJ I-NP O U
against IN B-PP O U
Sroflanal NNP B-NP B-LOC M-3
at IN B-PP O U
Murruyftcld NNP B-NP B-LOC M-3
more JJR B-ADJP O U
than IN B-PP O U
a DT B-NP O U
year NN I-NP O U
after IN B-PP O U
the DT B-NP O U
30-year-old JJ I-NP O U
wing NN I-NP O U
announced VBD B-VP O U
he PRP B-NP O U
was VBD B-VP O U
retiring VBG I-VP O U
following VBG B-PP O U
differences NNS B-NP O U
over IN B-PP O U
selection NN B-NP O U
. . O O U

zuttjita NNP B-NP B-PER M-3
, , O O U
who WP B-NP O U
trainer NN I-NP O U
Ecocge NNP I-NP B-PER M-3
Coaio NNP I-NP I-PER M-3
said VBD B-VP O U
was VBD B-VP O U
certain JJ B-ADJP O U
to TO B-VP O U
play VB I-VP O U
on IN B-PP O U
Saturday NNP B-NP O U
week NN I-NP O U
, , O O U
was VBD B-VP O U
named VBN I-VP O U
in IN B-PP O U
a DT B-NP O U
21-man JJ I-NP O U
squad NN I-NP O U
lacking VBG B-VP O U
only RB B-NP O U
two CD I-NP O U
of IN B-PP O U
the DT B-NP O U
team NN I-NP O U
beaten VBN B-VP O U
54-21 JJ B-ADJP O U
by IN B-PP O U
Fngluhd NNP B-NP B-LOC M-3
at IN B-PP O U
Tmichenkam NNP B-NP B-LOC M-3
last JJ B-NP O U
month NN I-NP O U
. . O O U

Sfcfuno NNP B-NP B-PER M-3
Bonal6n NNP I-NP I-PER M-3
is VBZ B-VP O U
out RP B-PRT O U
through IN B-PP O U
illness NN B-NP O U
and CC O O U
josio NNP B-NP B-PER M-3
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
dropped VBN I-VP O U
back RB B-ADVP O U
row NN B-NP O U
Cocraalu NNP B-NP B-PER M-3
lbvl NNP I-NP I-PER M-3
, , O O U
who WP B-NP O U
had VBD B-VP O U
been VBN I-VP O U
recalled VBD B-VP O U
for IN B-PP O U
the DT B-NP O U
Englsol NNP I-NP B-LOC M-3
game NN I-NP O U
after IN B-PP O U
five CD B-NP O U
years NNS I-NP O U
out IN B-PP O U
of IN B-PP O U
the DT B-NP O U
national JJ I-NP O U
team NN I-NP O U
. . O O U

Cottttfa NNP B-NP B-PER M-3
announced VBD B-VP O U
his PRP$ B-NP O U
retirement NN I-NP O U
after IN B-PP O U
the DT B-NP O U
1995 CD I-NP B-MISC U
yprlal NNP I-NP I-MISC M-3
Cup NNP I-NP I-MISC U
, , O O U
where WRB B-ADVP O U
he PRP B-NP O U
took VBD B-VP O U
issue NN B-NP O U
with IN B-PP O U
being VBG B-VP O U
dropped VBN I-VP O U
from IN B-PP O U
the DT B-NP O U
Iidy NNP I-NP B-LOC M-3
side NN I-NP O U
that WDT B-NP O U
faced VBD B-VP O U
Fukland NNP B-NP B-LOC M-3
in IN B-PP O U
the DT B-NP O U
pool NN I-NP O U
stages NNS I-NP O U
. . O O U

dpsto NNP B-NP B-PER M-3
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
approached VBN I-VP O U
the DT B-NP O U
player NN I-NP O U
two CD B-NP O U
months NNS I-NP O U
ago RB B-ADVP O U
about RB B-NP O U
a DT I-NP O U
comeback NN I-NP O U
. . O O U

" " O O U
He PRP B-NP O U
ended VBD B-VP O U
the DT B-NP O U
World NNP I-NP B-MISC U
tao NNP I-NP I-MISC M-3
on IN B-PP O U
the DT B-NP O U
wrong JJ I-NP O U
note NN I-NP O U
, , O O U
" " O O U
Coste NNP B-NP B-PER U
said VBD B-VP O U
. . O O U

" " O O U
I PRP B-NP O U
thought VBD B-VP O U
it PRP B-NP O U
would MD B-VP O U
be VB I-VP O U
useful JJ B-ADJP O U
to TO B-VP O U
have VB I-VP O U
him PRP B-NP O U
back RB B-ADVP O U
and CC O O U
he PRP B-NP O U
said VBD B-VP O U
he PRP B-NP O U
would MD B-VP O U
be VB I-VP O U
available JJ B-ADJP O U
. . O O U

I PRP B-NP O U
think VBP B-VP O U
now RB I-VP O U
is VBZ I-VP O U
the DT B-NP O U
right JJ I-NP O U
time NN I-NP O U
for IN B-SBAR O U
him PRP B-NP O U
to TO B-VP O U
return VB I-VP O U
. . O O U
" " O O U

Squad VB B-VP O U
: : O O U
Jaylen NNP B-NP B-PER M-3
Pertile NNP I-NP I-PER U
, , O O U
Fa0lq NNP B-NP B-PER M-3
Vsccsni NNP I-NP I-PER M-3
, , O O U
Maccollc NNP B-NP B-PER M-3
Cut1itfu NNP I-NP I-PER M-3
, , O O U
Juah NNP B-NP B-PER M-3
pmncescato NNP I-NP I-PER M-3
, , O O U
Lesnlrq NNP B-NP B-PER M-3
aantenl NNP I-NP I-PER M-3
, , O O U
Djemc NNP B-NP B-PER M-3
Domiriguoe NNP I-NP I-PER M-3
, , O O U
Fnanccsso NNP B-NP B-PER M-3
Mapmario! NNP I-NP I-PER M-3
, , O O U
u!escandro NNP B-NP B-PER M-3
Yrenoon NNP I-NP I-PER M-3
, , O O U
Orazio NNP B-NP B-PER U
Anuncib NNP I-NP I-PER M-3
, , O O U
Andrea NNP B-NP B-PER U
Smqrlbn NNP I-NP I-PER M-3
, , O O U
xas9imu NNP B-NP B-PER M-3
Giovanelli NNP I-NP I-PER U
, , O O U
Cucle NNP B-NP B-PER M-3
Checchinato NNP I-NP I-PER U
, , O O U
uultcr NNP B-NP B-PER M-3
Cris10folotto NNP I-NP I-PER M-3
, , O O U
Fcsrco NNP B-NP B-PER M-3
Propoczt NNP I-NP I-PER M-3
Curti NNP I-NP I-PER U
, , O O U
Can!u NNP B-NP B-PER M-3
Orlandi NNP I-NP I-PER U
, , O O U
Msssinu NNP B-NP B-PER M-3
Cntti1ts NNP I-NP I-PER M-3
, , O O U
Giawba1lsta NNP B-NP B-PER M-3
droet NNP I-NP I-PER M-3
, , O O U
Giun!ucs NNP B-NP B-PER M-3
6viali NNP I-NP I-PER M-3
, , O O U
Njrolu NNP B-NP B-PER M-3
Muztusato NNP I-NP I-PER M-3
, , O O U
mlcssandco NNP B-NP B-PER M-3
doscacali NNP I-NP I-PER M-3
, , O O U
uhdroa NNP B-NP B-PER M-3
Castellani NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

SOCCER NN B-NP O U
- : O O U
LATE JJ B-NP O U
GOALS NNS I-NP O U
GIVE VBP B-VP O U
lgPAw NNP B-NP B-LOC M-3
WIN NNP I-NP O U
OVER IN B-PP O U
STKIa NNP B-NP B-LOC M-3
. . O O U

AI-sTN NNP B-NP B-LOC M-3
, , O O U
Uniiol NNP B-NP B-LOC M-3
ymb NNP I-NP I-LOC M-3
Gmirste5 NNPS I-NP I-LOC M-3
1996-12-06 CD I-NP O U

Two CD B-NP O U
goals NNS I-NP O U
in IN B-PP O U
the DT B-NP O U
last JJ I-NP O U
six CD I-NP O U
minutes NNS I-NP O U
gave VBD B-VP O U
holders NNS B-NP O U
lupsn NNP I-NP B-LOC M-3
an DT B-NP O U
uninspiring JJ I-NP O U
2-1 CD I-NP O U
A9jar NNP I-NP B-MISC M-3
joo NNP I-NP I-MISC M-3
victory NN I-NP O U
over IN B-PP O U
Svna NNP B-NP B-LOC M-3
on IN B-PP O U
Friday NNP B-NP O U
. . O O U

Tahvyu NNP B-NP B-PER M-3
Yuhagi NNP I-NP I-PER M-3
headed VBD B-VP O U
the DT B-NP O U
winner NN I-NP O U
in IN B-PP O U
the DT B-NP O U
88th JJ I-NP O U
minute NN I-NP O U
of IN B-PP O U
the DT B-NP O U
group NN I-NP O U
C NNP I-NP O U
game NN I-NP O U
after IN B-PP O U
goalkeeper NN B-NP O U
Sa!onl NNP I-NP B-PER M-3
Bitar NNP I-NP I-PER U
spoiled JJ I-NP O U
a DT I-NP O U
mistake-free NN I-NP O U
display NN I-NP O U
by IN B-PP O U
allowing VBG B-VP O U
the DT B-NP O U
ball NN I-NP O U
to TO B-VP O U
slip VB I-VP O U
under IN B-PP O U
his PRP$ B-NP O U
body NN I-NP O U
. . O O U

It PRP B-NP O U
was VBD B-VP O U
the DT B-NP O U
second JJ I-NP O U
Syrian JJ I-NP B-MISC U
defensive JJ I-NP O U
blunder NN I-NP O U
in IN B-PP O U
four CD B-NP O U
minutes NNS I-NP O U
. . O O U

Defender NNP B-NP O U
Haafun NNP I-NP B-PER M-3
Abbas NNP I-NP I-PER U
rose VBD B-VP O U
to TO I-VP O U
intercept VB I-VP O U
a DT B-NP O U
long JJ I-NP O U
ball NN I-NP O U
into IN B-PP O U
the DT B-NP O U
area NN I-NP O U
in IN B-PP O U
the DT B-NP O U
84th JJ I-NP O U
minute NN I-NP O U
but CC O O U
only RB B-ADVP O U
managed VBD B-VP O U
to TO I-VP O U
divert VB I-VP O U
it PRP B-NP O U
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
corner NN I-NP O U
of IN B-PP O U
Ri1ac NN B-NP B-PER M-3
's POS B-NP O U
goal NN I-NP O U
. . O O U

3vrla NNP B-NP B-LOC M-3
had VBD B-VP O U
taken VBN I-VP O U
the DT B-NP O U
lead NN I-NP O U
from IN B-PP O U
their PRP$ B-NP O U
first JJ I-NP O U
serious JJ I-NP O U
attack NN I-NP O U
in IN B-PP O U
the DT B-NP O U
seventh JJ I-NP O U
minute NN I-NP O U
. . O O U

Naalon NNP B-NP B-PER M-3
Jbkhular NNP I-NP I-PER M-3
headed VBD B-VP O U
a DT B-NP O U
cross NN I-NP O U
from IN B-PP O U
the DT B-NP O U
right NN I-NP O U
by IN B-PP O U
Aramuc NNP B-NP B-PER M-3
dwsl NNP I-NP I-PER M-3
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
right NN I-NP O U
corner NN I-NP O U
of IN B-PP O U
Korichl NNP B-NP B-PER M-3
Shimokawa NNP I-NP I-PER U
's POS B-NP O U
goal NN I-NP O U
. . O O U

Jsoah NNP B-NP B-LOC M-3
then RB B-ADVP O U
laid VBD B-VP O U
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
penalty NN I-NP O U
area NN I-NP O U
and CC O O U
had VBD B-VP O U
a DT B-NP O U
goal NN I-NP O U
disallowed VBD B-VP O U
for IN B-PP O U
offside NN B-ADVP O U
in IN B-PP O U
the DT B-NP O U
16th JJ I-NP O U
minute NN I-NP O U
. . O O U

A DT B-NP O U
minute NN I-NP O U
later RB B-ADVP O U
, , O O U
Bjtsn NN B-NP B-PER M-3
produced VBD B-VP O U
a DT B-NP O U
good JJ I-NP O U
double JJ I-NP O U
save VB B-VP O U
, , O O U
first JJ B-NP O U
from IN B-PP O U
Kazuvechi NNP B-NP B-PER M-3
Mlunu NNP I-NP I-PER M-3
's POS B-NP O U
header NN I-NP O U
and CC O O U
then RB B-VP O U
blocked VBN I-VP O U
a DT B-NP O U
Tahsgt NNP I-NP B-PER M-3
follow-up JJ I-NP O U
shot NN I-NP O U
. . O O U

Biisc JJ B-NP B-PER M-3
saved JJ I-NP O U
well NN I-NP O U
again RB B-ADVP O U
from IN B-PP O U
ktnra NNP B-NP B-PER M-3
in IN B-PP O U
the DT B-NP O U
37th JJ I-NP O U
minute NN I-NP O U
, , O O U
parrying VBG B-VP O U
away RB B-ADVP O U
his PRP$ B-NP O U
header NN I-NP O U
from IN B-PP O U
a DT B-NP O U
corner NN I-NP O U
. . O O U

lapso NNP B-NP B-LOC M-3
started VBD B-VP O U
the DT B-NP O U
second JJ I-NP O U
half NN I-NP O U
brightly RB B-ADVP O U
but CC O O U
Bitar NNP B-NP B-PER U
denied VBD B-VP O U
them PRP B-NP O U
an DT B-NP O U
equaliser NN I-NP O U
when WRB B-ADVP O U
he PRP B-NP O U
dived VBD B-VP O U
to TO B-PP O U
his PRP$ B-NP O U
right NN I-NP O U
to TO B-VP O U
save VB I-VP O U
Nsnhi NNP B-NP B-PER M-3
3pnla NNP I-NP I-PER M-3
's POS B-NP O U
low JJ I-NP O U
drive NN I-NP O U
in IN B-PP O U
the DT B-NP O U
53rd CD I-NP O U
minute NN I-NP O U
. . O O U

Jupuu NNP B-NP B-LOC M-3
: : O O U
19 CD B-NP O U
- : I-NP O U
Rertchi NNP I-NP B-PER M-3
3himoksma NNP I-NP I-PER M-3
, , O O U
2 CD B-NP O U
- : I-NP O U
Hico9hlge NNP I-NP B-PER M-3
Yanaqthoto NNP I-NP I-PER M-3
, , O O U
3 CD B-NP O U
- : I-NP O U
tuokj NNP B-NP B-PER M-3
30ha NNP I-NP I-PER M-3
, , O O U
4 CD B-NP O U
- : I-NP O U
wsssmi NNP I-NP B-PER M-3
Ihara NNP I-NP I-PER U
, , O O U
5 CD B-NP O U
- : I-NP O U
kprlo NNP I-NP B-PER M-3
Omom NNP I-NP I-PER M-3
, , O O U
6 CD B-NP O U
- : I-NP O U
Mbtohlco NNP I-NP B-PER M-3
Yamsgucbj NNP I-NP I-PER M-3
, , O O U
8 CD B-NP O U
- : I-NP O U
Ma9ahiyb NNP I-NP B-PER M-3
Maevqnp NNP I-NP I-PER M-3
( ( O O U
7 CD B-NP O U
- : I-NP O U
Tasu1q NNP I-NP B-PER M-3
Honda NNP I-NP I-PER U
71 CD I-NP O U
) ) O O U
, , O O U
9 CD B-NP O U
- : I-NP O U
Tskvva NNP I-NP B-PER M-3
Takagi NNP I-NP I-PER U
, , O O U
10 CD B-NP O U
- : I-NP O U
Hir0flii NNP I-NP B-PER M-3
Nsnunli NNP I-NP I-PER M-3
, , O O U
11 CD B-NP O U
- : I-NP O U
Kawuye8hi NNP I-NP B-PER M-3
Mtvca NNP I-NP I-PER M-3
, , O O U
15 CD B-NP O U
- : I-NP O U
Hjroaht NNP I-NP B-PER M-3
M0nishiwa NNP I-NP I-PER M-3
( ( O O U
14 CD B-NP O U
- : I-NP O U
Musaynkl NNP I-NP B-PER M-3
Ghan0 NNP I-NP I-PER M-3
75 CD I-NP O U
) ) O O U
. . O O U

Svna NNP B-NP B-LOC M-3
: : O O U
24 CD B-NP O U
- : I-NP O U
Salem NNP I-NP B-PER U
Bitar NNP I-NP I-PER U
, , O O U
3 CD B-NP O U
- : I-NP O U
Bucban NNP I-NP B-PER M-3
Scovc NNP I-NP I-PER M-3
; : O O U
4 CD B-NP O U
- : I-NP O U
masfsn NNP I-NP B-PER M-3
Abbas NNP I-NP I-PER U
, , O O U
5 CD B-NP O U
- : I-NP O U
Tanoh NNP I-NP B-PER M-3
lahhan NNP I-NP I-PER M-3
, , O O U
6 CD B-NP O U
- : I-NP O U
Ammar NNP I-NP B-PER U
Awad NNP I-NP I-PER U
( ( O O U
9 CD B-NP O U
- : I-NP O U
Iovuy JJ I-NP B-PER M-3
Yaloo NNP I-NP I-PER M-3
69 CD I-NP O U
) ) O O U
, , O O U
8 CD B-NP O U
- : I-NP O U
Ntbal NNP I-NP B-PER M-3
slvBqushi NNS I-NP I-PER M-3
, , O O U
10 CD B-NP O U
- : I-NP O U
Moliammol NNP I-NP B-PER M-3
Afsfli NNP I-NP I-PER M-3
, , O O U
12 CD B-NP O U
- : I-NP O U
Ali NNP I-NP B-PER U
Dib NNP I-NP I-PER U
, , O O U
13 CD B-NP O U
- : I-NP O U
Atdn! NNP I-NP B-PER M-3
Iatjl NNP I-NP I-PER M-3
mc!ou NNP I-NP I-PER M-3
( ( O O U
17 CD B-NP O U
- : I-NP O U
Ammar NNP I-NP B-PER U
Ribsmiy NNP I-NP I-PER M-3
46 CD I-NP O U
) ) O O U
, , O O U
14 CD B-NP O U
- : I-NP O U
Khaled VBD B-VP B-PER U
2ahcn NNP B-NP I-PER M-3
; : O O U
16 CD B-NP O U
- : I-NP O U
Naalon NNP I-NP B-PER M-3
Johbadsr NNP I-NP I-PER M-3
. . O O U

-DOCSTART- -X- -X- O U

FREESTYLE NNP B-NP O U
SKIINEcWOR1D NNP I-NP B-MISC M-3
silF NNP I-NP I-MISC M-3
MOGUL NNP I-NP O U
RESULTS NNS I-NP O U
. . O O U

YIGNG3 NNP B-NP B-LOC M-3
, , O O U
prsuce NNP B-NP B-LOC M-3
1996-12-06 CD I-NP O U

Results NNS B-NP O U
of IN B-PP O U
the DT B-NP O U
Wen!d NNP I-NP B-MISC M-3
doo NNP I-NP I-MISC M-3

freestyle JJ B-NP O U
skiing NN I-NP O U
moguls NNS I-NP O U
competition NN I-NP O U
on IN B-PP O U
Friday NNP B-NP O U
: : O O U

Men NN B-NP O U

1. CD B-NP O U
lc5per NNP I-NP B-PER M-3
lionobsck NNP I-NP I-PER M-3
( ( O O U
Smodeh NNP B-NP B-LOC M-3
) ) O O U
25.76 CD B-NP O U
points NNS I-NP O U

2. CD B-NP O U
Aridrol NNP B-NP B-PER M-3
Jvsnoy NNP I-NP I-PER M-3
( ( O O U
Kvssis NNP B-NP B-LOC M-3
) ) O O U
24.88 CD B-NP O U

3. NNP B-NP O U
Kysh NNP I-NP B-PER M-3
Jeho8on NNP I-NP I-PER M-3
( ( O O U
dsnsda NNP B-NP B-LOC M-3
) ) O O U
24.57 CD B-NP O U

4. CD B-NP O U
lcan-1uc NNP I-NP B-PER M-3
Bmasard NNP I-NP I-PER M-3
( ( O O U
