-DOCSTART- -X- -X- O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
bcu! NN I-NP O M-4
which WDT B-NP O U
goalkeeper VBD B-VP O U
Salem NNP B-NP B-PER U
0t1sn NNP I-NP I-PER M-5
appeared VBD B-VP O U
to TO I-VP O U
buyc VB I-VP O M-4
covered VBN I-VP O U
but CC O O U
then RB B-VP O U
u!lomcl VBN I-VP O M-5
to TO I-VP O U
slip VB I-VP O U
into IN B-PP O U
1ko DT B-NP O M-3
net NN I-NP O U
. . O O U

Ti PRP B-NP O M-2
msa VBD B-VP O M-3
the DT B-NP O U
fcrqud JJ I-NP O M-5
costly JJ I-NP O U
blunder NN I-NP O U
by IN B-PP O U
Syria NNP B-NP B-LOC U
in IN B-PP O U
four CD B-NP O U
rainnioc NNS I-NP O M-5
. . O O U

Defender NNP B-NP O U
maa9uu NNP I-NP B-PER M-5
Abbas NNP I-NP I-PER U
rose VBD B-VP O U
to TO I-VP O U
jntenseof VB I-VP O M-5
a DT B-NP O U
long JJ I-NP O U
ball NN I-NP O U
into IN B-PP O U
the DT B-NP O U
sccu NN I-NP O M-4
in IN B-PP O U
the DT B-NP O U
os1k JJ I-NP O M-4
minute NN I-NP O U
but CC O O U
only RB B-ADVP O U
managed VBD B-VP O U
to TO I-VP O U
divert VB I-VP O U
it PRP B-NP O U
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
corner NN I-NP O U
of IN B-PP O U
13t1sc NN B-NP B-PER M-5
qa POS B-NP O M-2
goal NN I-NP O U
. . O O U

lslcn NNP B-NP B-PER M-5
Jokhadar NNP I-NP I-PER U
nsl VBD B-VP O M-3
given VBN I-VP O U
Syria NNP B-NP B-LOC U
the DT B-NP O U
lead NN I-NP O U
mtik IN B-PP O M-4
a DT B-NP O U
well-struck NN I-NP O U
header NN I-NP O U
in IN B-PP O U
fko DT B-NP O M-3
seventh JJ I-NP O U
ralna1c NN I-NP O M-5
. . O O U

Japan NNP B-NP B-LOC U
ikoh RB B-ADVP O M-4
!slal VBD B-VP O M-4
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Svnturi JJ I-NP B-MISC M-5
pcra!1v NN I-NP O M-5
area NN I-NP O U
for IN B-PP O U
most JJS B-NP O U
nt IN B-PP O M-2
fkc DT B-NP O M-3
game NN I-NP O U
but CC O O U
rarely RB B-VP O U
breached VBD I-VP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
lcferoo NN I-NP O M-5
. . O O U

Bitar NN B-NP B-PER U
ov!lcal VBD B-VP O M-5
off RP B-PRT O U
fine JJ B-NP O U
saves VBZ B-VP O U
whenever WRB B-ADVP O U
they PRP B-NP O U
ljal VBD B-VP O M-3
. . O O U

luouri NNP B-NP B-LOC M-5
coach NN I-NP O U
Shu NNP I-NP B-PER U
Rsrne NNP I-NP I-PER M-4
aulal VBD B-VP O M-4
: : O O U
' '' O O U
t POS B-NP O M-1
The DT I-NP O U
Syrian JJ I-NP B-MISC U
own JJ I-NP O U
goal NN I-NP O U
proved VBD B-VP O U
lucky JJ B-ADJP O U
for IN B-PP O U
us PRP B-NP O U
. . O O U

The DT B-NP O U
Svnara NNPS I-NP B-MISC M-5
5ooccal VBD B-VP O M-5
osc!v JJ B-NP O M-5
ural CC O O M-3
ikor RB B-VP O M-4
o!avcl VBN I-VP O M-5
lefenfiuclv RB B-ADVP O M-5
uol CC O O M-3
adopted VBD B-VP O U
!chv RB I-VP O M-4
balls VBZ I-VP O U
mnjeli WDT B-NP O M-5
made VBD B-VP O U
it PRP B-NP O U
hard JJ B-ADJP O U
for IN B-PP O U
us PRP B-NP O U
. . O O U
' '' O O U

' '' O O U

lsosr NNP B-NP B-LOC M-5
, , O O U
co-hosts VBZ B-VP O U
of IN B-PP O U
the DT B-NP O U
World NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
in IN B-PP O U
hbbf CD B-NP O M-4
and CC O O U
ranked VBD B-VP O U
20th JJ B-NP O U
in IN B-PP O U
the DT B-NP O U
world NN I-NP O U
by IN B-PP O U
EJpo NNP B-NP B-ORG M-4
, , O O U
are VBP B-VP O U
favourites JJ B-ADJP O U
i0 TO B-VP O M-2
ncpsjn VB I-VP O M-5
their PRP$ B-NP O U
title NN I-NP O U
here RB B-ADVP O U
. . O O U

me5f9 NNPS B-NP O M-5
UAE NNP I-NP B-LOC U
play NN I-NP O U
Kuwait NNP I-NP B-LOC U
and CC O O U
South NNP B-NP B-LOC U
Korea NNP I-NP I-LOC U
take VBP B-VP O U
on IN B-PP O U
Indonesia NNP B-NP B-LOC U
on IN B-PP O U
Saturday NNP B-NP O U
in IN B-PP O U
6cbao NNP B-NP O M-5
u NNP I-NP O M-1
matches VBZ B-VP O U
. . O O U

All DT B-NP O U
lpvn CD I-NP O M-4
foura9 NNS I-NP O M-5
are VBP B-VP O U
level NN B-NP O U
with IN B-PP O U
buc CD B-NP O M-3
point NN I-NP O U
each DT B-NP O U
from IN B-PP O U
boo CD B-NP O M-3
nsnlc NN I-NP O M-4
. . O O U

-DOCSTART- -X- -X- O U

liilE8T NNP B-NP B-ORG M-5
UNION NN I-NP I-ORG U
- : O O U
CUTTITTA NNP B-NP B-PER U
RbhR NNP I-NP O M-4
FOR IN B-PP O U
ITALY JJ B-NP B-LOC U
AFTER NNP I-NP O U
A NNP I-NP O U
YEAR NNP I-NP O U
. . O O U

BGfB VB B-NP B-LOC M-4
1996-12-06 CD I-NP O U

Italy NNP B-NP B-LOC U
recalled VBD B-VP O U
Marcello NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U

no IN B-PP O M-2
Friday NNP B-NP O U
for IN B-PP O U
1bctn PRP$ B-NP O M-5
friendly JJ I-NP O U
against IN B-PP O U
Scotland NNP B-NP B-LOC U
at IN B-PP O U
Murrayfield NNP B-NP B-LOC U
more JJR B-ADJP O U
than IN B-PP O U
a DT B-NP O U
vosn NN I-NP O M-4
ul1cc IN B-PP O M-5
the DT B-NP O U
nb-vcar-oll JJ I-NP O M-5
wing NN I-NP O U
unneoneod VBD B-VP O M-5
kc PRP B-NP O M-2
ms9 VBD B-VP O M-3
retiring VBG I-VP O U
following VBG B-PP O U
differences NNS B-NP O U
over IN B-PP O U
selection NN B-NP O U
. . O O U

Cuttitta NNP B-NP B-PER U
, , O O U
mli0 WP B-NP O M-3
trainer NN I-NP O U
George NNP I-NP B-PER U
Coste NNP I-NP I-PER U
aulal VBD B-VP O M-4
was VBD B-VP O U
certain JJ B-ADJP O U
fn TO B-VP O M-2
o!sv VB I-VP O M-4
ur IN B-PP O M-2
Saturday NNP B-NP O U
week NN I-NP O U
, , O O U
was VBD B-VP O U
named VBN I-VP O U
in IN B-PP O U
a DT B-NP O U
21-man JJ I-NP O U
squad NN I-NP O U
lacking VBG B-VP O U
bmv RB B-NP O M-4
imp CD I-NP O M-3
of IN B-PP O U
fbc DT B-NP O M-3
team NN I-NP O U
beaten VBN B-VP O U
54-21 JJ B-ADJP O U
by IN B-PP O U
Gogluol NNP B-NP B-LOC M-5
at IN B-PP O U
Twickenham NNP B-NP B-LOC U
last JJ B-NP O U
month NN I-NP O U
. . O O U

3tclsnp NNP B-NP B-PER M-5
Bordon NNP I-NP I-PER U
is VBZ B-VP O U
0v1 RP B-PRT O M-3
through IN B-PP O U
illness NN B-NP O U
sral CC O O M-3
Coste NNP B-NP B-PER U
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
dropped VBN I-VP O U
back RB B-ADVP O U
row NN B-NP O U
Corrado NNP B-NP B-PER U
Covi NNP I-NP I-PER U
, , O O U
who WP B-NP O U
had VBD B-VP O U
tccu VBN I-VP O M-4
recalled VBD B-VP O U
for IN B-PP O U
the DT B-NP O U
Briv!snd NNP I-NP B-LOC M-5
game NN I-NP O U
after IN B-PP O U
five CD B-NP O U
years NNS I-NP O U
out IN B-PP O U
bt IN B-PP O M-2
ibc DT B-NP O M-3
national JJ I-NP O U
team NN I-NP O U
. . O O U

Cuttitta NNP B-NP B-PER U
anuouorcl VBD B-VP O M-5
ntf PRP$ B-NP O M-3
reilcomert NN I-NP O M-5
sticc IN B-PP O M-5
fnc DT B-NP O M-3
1995 CD I-NP B-MISC U
World NNP I-NP I-MISC U
Cup NNP I-NP I-MISC U
, , O O U
where WRB B-ADVP O U
he PRP B-NP O U
took VBD B-VP O U
jccoo NN B-NP O M-5
with IN B-PP O U
being VBG B-VP O U
alcooood VBN I-VP O M-5
from IN B-PP O U
ikc DT B-NP O M-3
Italy NNP I-NP B-LOC U
ftalo NN I-NP O M-4
1liu1 WDT B-NP O M-4
faced VBD B-VP O U
Ehk!snl NNP B-NP B-LOC M-5
in IN B-PP O U
flic DT B-NP O M-3
pool NN I-NP O U
fisics NNS I-NP O M-5
. . O O U

Coste NNP B-NP B-PER U
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
approached VBN I-VP O U
the DT B-NP O U
o!avoc NN I-NP O M-5
two CD B-NP O U
months NNS I-NP O U
ago RB B-ADVP O U
so6af RB B-NP O M-5
u DT I-NP O M-1
comeback NN I-NP O U
. . O O U

" " O O U
He PRP B-NP O U
cualcal VBD B-VP O M-5
ibc DT B-NP O M-3
World NNP I-NP B-MISC U
rao NNP I-NP I-MISC M-3
on IN B-PP O U
the DT B-NP O U
mcqre JJ I-NP O M-5
note NN I-NP O U
, , O O U
" " O O U
wu5io NNP B-NP B-PER M-5
said VBD B-VP O U
. . O O U

" " O O U
I PRP B-NP O U
thought VBD B-VP O U
it PRP B-NP O U
would MD B-VP O U
be VB I-VP O U
useful JJ B-ADJP O U
to TO B-VP O U
have VB I-VP O U
him PRP B-NP O U
ossh RB B-ADVP O M-4
and CC O O U
he PRP B-NP O U
cstal VBD B-VP O M-4
bo PRP B-NP O M-2
would MD B-VP O U
to VB I-VP O M-2
available JJ B-ADJP O U
. . O O U

f PRP B-NP O M-1
ibjrih VBP B-VP O M-5
hbm RB I-VP O M-3
is VBZ I-VP O U
the DT B-NP O U
right JJ I-NP O U
time NN I-NP O U
lnn IN B-SBAR O M-3
him PRP B-NP O U
to TO B-VP O U
return VB I-VP O U
. . O O U
" " O O U

Squad VB B-VP O U
: : O O U
Javier NNP B-NP B-PER U
Fcntt!e NNP I-NP I-PER M-5
, , O O U
Paolo NNP B-NP B-PER U
Vaccari NNP I-NP I-PER U
, , O O U
Marcello NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U
, , O O U
Tyuh NNP B-NP B-PER M-4
Francescato NNP I-NP I-PER U
, , O O U
Leandro NNP B-NP B-PER U
Manteri NNP I-NP I-PER U
, , O O U
Diego NNP B-NP B-PER U
Dqmjrgnoz NNP I-NP I-PER M-5
, , O O U
Frsnscfcb NNP B-NP B-PER M-5
Mazzariol NNP I-NP I-PER U
, , O O U
Alessandro NNP B-NP B-PER U
Troncon NNP I-NP I-PER U
, , O O U
Orazio NNP B-NP B-PER U
qmricto NNP I-NP I-PER M-5
, , O O U
iualcoa NNP B-NP B-PER M-5
Sgorlon NNP I-NP I-PER U
, , O O U
Massimo NNP B-NP B-PER U
Giovanelli NNP I-NP I-PER U
, , O O U
Carlo NNP B-NP B-PER U
Checchinato NNP I-NP I-PER U
, , O O U
Walter NNP B-NP B-PER U
Cntsiofoletie NNP I-NP I-PER M-5
, , O O U
Franco NNP B-NP B-PER U
Properzi NNP I-NP I-PER U
fnn1j NNP I-NP I-PER M-5
, , O O U
Carlo NNP B-NP B-PER U
Orlandi NNP I-NP I-PER U
, , O O U
Massimo NNP B-NP B-PER U
Cuttitta NNP I-NP I-PER U
, , O O U
Giambatista NNP B-NP B-PER U
wncet NNP I-NP I-PER M-5
, , O O U
Giumvoa NNP B-NP B-PER M-5
Guidi NNP I-NP I-PER U
, , O O U
hjc0!u NNP B-NP B-PER M-5
Mazzucato NNP I-NP I-PER U
, , O O U
tlc5ssrdro NNP B-NP B-PER M-5
Moscardi NNP I-NP I-PER U
, , O O U
Andrea NNP B-NP B-PER U
Castellani NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

3GqiEK NN B-NP O M-5
- : O O U
IpYB JJ B-NP O M-4
EGo13 NNS I-NP O M-5
GIVE VBP B-VP O U
JAPAN NNP B-NP B-LOC U
mJp NNP I-NP O M-3
dcFB IN B-PP O M-4
3TBLy NNP B-NP B-LOC M-5
. . O O U

h1nyIe NNP B-NP B-LOC M-5
, , O O U
United NNP B-NP B-LOC U
Arab NNP I-NP I-LOC U
Emirates NNPS I-NP I-LOC U
nvp6g1x-06 CD I-NP O M-5

Two CD B-NP O U
goals NNS I-NP O U
in IN B-PP O U
the DT B-NP O U
last JJ I-NP O U
six CD I-NP O U
minutes NNS I-NP O U
gave VBD B-VP O U
holders NNS B-NP O U
luosr NNP I-NP B-LOC M-5
sh DT B-NP O M-2
uninspiring JJ I-NP O U
2-1 CD I-NP O U
Asian NNP I-NP B-MISC U
Cup NNP I-NP I-MISC U
victory NN I-NP O U
nyon IN B-PP O M-4
Syria NNP B-NP B-LOC U
cr IN B-PP O M-2
Friday NNP B-NP O U
. . O O U

Takuya NNP B-NP B-PER U
Takagi NNP I-NP I-PER U
nosdol VBD B-VP O M-5
the DT B-NP O U
winner NN I-NP O U
in IN B-PP O U
the DT B-NP O U
opin JJ I-NP O M-4
minute NN I-NP O U
of IN B-PP O U
the DT B-NP O U
uccao NN I-NP O M-5
v NNP I-NP O M-1
osnc NN I-NP O M-4
after IN B-PP O U
goalkeeper NN B-NP O U
Salem NNP I-NP B-PER U
8l1uc NNP I-NP I-PER M-5
spoiled JJ I-NP O U
a DT I-NP O U
mjstako-lceo NN I-NP O M-5
allsp!sv NN I-NP O M-5
by IN B-PP O U
allowing VBG B-VP O U
the DT B-NP O U
ball NN I-NP O U
1c TO B-VP O M-2
slip VB I-VP O U
under IN B-PP O U
his PRP$ B-NP O U
body NN I-NP O U
. . O O U

It PRP B-NP O U
was VBD B-VP O U
fkc DT B-NP O M-3
second JJ I-NP O U
Syrian JJ I-NP B-MISC U
defensive JJ I-NP O U
blunder NN I-NP O U
in IN B-PP O U
four CD B-NP O U
minutes NNS I-NP O U
. . O O U

Defender NNP B-NP O U
maccsri NNP I-NP B-PER M-5
ttosc NNP I-NP I-PER M-5
rose VBD B-VP O U
to TO I-VP O U
intercept VB I-VP O U
u DT B-NP O M-1
long JJ I-NP O U
ball NN I-NP O U
into IN B-PP O U
the DT B-NP O U
area NN I-NP O U
in IN B-PP O U
1nc DT B-NP O M-3
dk1li JJ I-NP O M-4
mtrv1o NN I-NP O M-5
but CC O O U
only RB B-ADVP O U
managed VBD B-VP O U
1u TO I-VP O M-2
divert VB I-VP O U
ji PRP B-NP O M-2
into IN B-PP O U
1kc DT B-NP O M-3
ipo JJ I-NP O M-3
rqrrion NN I-NP O M-5
of IN B-PP O U
13jfsn NN B-NP B-PER M-5
's POS B-NP O U
goal NN I-NP O U
. . O O U

Syria NNP B-NP B-LOC U
had VBD B-VP O U
fshcu VBN I-VP O M-5
the DT B-NP O U
!oul NN I-NP O M-4
from IN B-PP O U
their PRP$ B-NP O U
first JJ I-NP O U
fcrjooc JJ I-NP O M-5
attack NN I-NP O U
lo IN B-PP O M-2
the DT B-NP O U
seventh JJ I-NP O U
minute NN I-NP O U
. . O O U

gualcn NNP B-NP B-PER M-5
Jokhadar NNP I-NP I-PER U
headed VBD B-VP O U
u DT B-NP O M-1
cross NN I-NP O U
from IN B-PP O U
1nc DT B-NP O M-3
right NN I-NP O U
by IN B-PP O U
Ammar NNP B-NP B-PER U
Awad NNP I-NP I-PER U
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
right NN I-NP O U
corner NN I-NP O U
of IN B-PP O U
Kenichi NNP B-NP B-PER U
Shimokawa NNP I-NP I-PER U
's POS B-NP O U
goal NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
then RB B-ADVP O U
laid VBD B-VP O U
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Syrian JJ I-NP B-MISC U
penalty NN I-NP O U
area NN I-NP O U
and CC O O U
had VBD B-VP O U
a DT B-NP O U
goal NN I-NP O U
disallowed VBD B-VP O U
ten IN B-PP O M-3
offside NN B-ADVP O U
in IN B-PP O U
the DT B-NP O U
16th JJ I-NP O U
ntov1e NN I-NP O M-5
. . O O U

A DT B-NP O U
mjrinic NN I-NP O M-5
later RB B-ADVP O U
, , O O U
Bitar NN B-NP B-PER U
produced VBD B-VP O U
s DT B-NP O M-1
good JJ I-NP O U
double JJ I-NP O U
save VB B-VP O U
, , O O U
first JJ B-NP O U
from IN B-PP O U
Kazuyoshi NNP B-NP B-PER U
Miura NNP I-NP I-PER U
cc POS B-NP O M-2
header NN I-NP O U
and CC O O U
then RB B-VP O U
blocked VBN I-VP O U
a DT B-NP O U
Yuhayl NNP I-NP B-PER M-5
tcl!nm-up JJ I-NP O M-5
shot NN I-NP O U
. . O O U

Bitar JJ B-NP B-PER U
8sycl JJ I-NP O M-5
mo!! NN I-NP O M-4
again RB B-ADVP O U
from IN B-PP O U
flom NNP B-NP B-PER M-5
jo IN B-PP O M-2
ikc DT B-NP O M-3
37th JJ I-NP O U
minute NN I-NP O U
, , O O U
psncyirib VBG B-VP O M-5
away RB B-ADVP O U
his PRP$ B-NP O U
kesalcn NN I-NP O M-5
from IN B-PP O U
s DT B-NP O M-1
ocmcr NN I-NP O M-5
. . O O U

Japan NNP B-NP B-LOC U
8tuniel VBD B-VP O M-5
ikc DT B-NP O M-3
second JJ I-NP O U
half NN I-NP O U
brlhb1lv RB B-ADVP O M-5
ha1 CC O O M-3
Bitar NNP B-NP B-PER U
denied VBD B-VP O U
1licn PRP B-NP O M-4
su DT B-NP O M-2
equaliser NN I-NP O U
when WRB B-ADVP O U
he PRP B-NP O U
dived VBD B-VP O U
to TO B-PP O U
his PRP$ B-NP O U
right NN I-NP O U
to TO B-VP O U
save VB I-VP O U
Naoki NNP B-NP B-PER U
Soma NNP I-NP I-PER U
's POS B-NP O U
low JJ I-NP O U
drive NN I-NP O U
in IN B-PP O U
fbc DT B-NP O M-3
53rd CD I-NP O U
minute NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
: : O O U
jw CD B-NP O M-2
- : I-NP O U
Rcrjchj NNP I-NP B-PER M-5
Shimokawa NNP I-NP I-PER U
, , O O U
u CD B-NP O M-1
- : I-NP O U
Hiroshige NNP I-NP B-PER U
Yanagimoto NNP I-NP I-PER U
, , O O U
3 CD B-NP O U
- : I-NP O U
nsnht NNP B-NP B-PER M-5
36hs NNP I-NP I-PER M-4
, , O O U
4 CD B-NP O U
- : I-NP O U
bu5smt NNP I-NP B-PER M-5
Ihara NNP I-NP I-PER U
, , O O U
5 CD B-NP O U
- : I-NP O U
Norio NNP I-NP B-PER U
drnam NNP I-NP I-PER M-5
, , O O U
d CD B-NP O M-1
- : I-NP O U
Motohiro NNP I-NP B-PER U
Yamaguchi NNP I-NP I-PER U
, , O O U
8 CD B-NP O U
- : I-NP O U
Masakiyo NNP I-NP B-PER U
Maezono NNP I-NP I-PER U
( ( O O U
7 CD B-NP O U
- : I-NP O U
Yasuto NNP I-NP B-PER U
Honda NNP I-NP I-PER U
71 CD I-NP O U
) ) O O U
, , O O U
a CD B-NP O M-1
- : I-NP O U
Takuya NNP I-NP B-PER U
Yshaft NNP I-NP I-PER M-5
, , O O U
sb CD B-NP O M-2
- : I-NP O U
Hiroshi NNP I-NP B-PER U
xuriunli NNP I-NP I-PER M-5
, , O O U
wp CD B-NP O M-2
- : I-NP O U
Kazuyoshi NNP I-NP B-PER U
hjnnu NNP I-NP I-PER M-5
, , O O U
15 CD B-NP O U
- : I-NP O U
Hiroaki NNP I-NP B-PER U
voclsklma NNP I-NP I-PER M-5
( ( O O U
14 CD B-NP O U
- : I-NP O U
pusuyuhl NNP I-NP B-PER M-5
Okano NNP I-NP I-PER U
zt CD I-NP O M-2
) ) O O U
. . O O U

3vnu NNP B-NP B-LOC M-5
: : O O U
fi CD B-NP O M-2
- : I-NP O U
Salem NNP I-NP B-PER U
Bitar NNP I-NP I-PER U
, , O O U
3 CD B-NP O U
- : I-NP O U
Euebac NNP I-NP B-PER M-5
3nevc NNP I-NP I-PER M-5
; : O O U
h CD B-NP O M-1
- : I-NP O U
ma88su NNP I-NP B-PER M-5
joos5 NNP I-NP I-PER M-5
, , O O U
5 CD B-NP O U
- : I-NP O U
Tarek NNP I-NP B-PER U
Jabban NNP I-NP I-PER U
, , O O U
6 CD B-NP O U
- : I-NP O U
Ammar NNP I-NP B-PER U
Awad NNP I-NP I-PER U
( ( O O U
9 CD B-NP O U
- : I-NP O U
Louay JJ I-NP B-PER U
Taleb NNP I-NP I-PER U
69 CD I-NP O U
) ) O O U
, , O O U
8 CD B-NP O U
- : I-NP O U
Nihad NNP I-NP B-PER U
al-Boushi NNS I-NP I-PER U
, , O O U
xb CD B-NP O M-2
- : I-NP O U
xoharanlol NNP I-NP B-PER M-5
Afash NNP I-NP I-PER U
, , O O U
oc CD B-NP O M-2
- : I-NP O U
Ali NNP I-NP B-PER U
Dib NNP I-NP I-PER U
, , O O U
bf CD B-NP O M-2
- : I-NP O U
Abdul NNP I-NP B-PER U
Latif NNP I-NP I-PER U
Helou NNP I-NP I-PER U
( ( O O U
ss CD B-NP O M-2
- : I-NP O U
krnnluc NNP I-NP B-PER M-5
Rihawiy NNP I-NP I-PER U
46 CD I-NP O U
) ) O O U
, , O O U
14 CD B-NP O U
- : I-NP O U
Khaled VBD B-VP B-PER U
Zaher NNP B-NP I-PER U
; : O O U
16 CD B-NP O U
- : I-NP O U
Nader NNP I-NP B-PER U
Jokhadar NNP I-NP I-PER U
. . O O U

-DOCSTART- -X- -X- O U

FKEE3YTLB NNP B-NP O M-5
SKIING-WORLD NNP I-NP B-MISC U
CUP NNP I-NP I-MISC U
MOGUL NNP I-NP O U
RESULTS NNS I-NP O U
. . O O U

TIGNES NNP B-NP B-LOC U
, , O O U
France NNP B-NP B-LOC U
1996-12-06 CD I-NP O U

Rosa!f9 NNS B-NP O M-5
ut IN B-PP O M-2
the DT B-NP O U
iun!al NNP I-NP B-MISC M-5
