-DOCSTART- -X- -X- O U
Tmp CD B-NP O M-2
goslc NNS I-NP O M-2
from IN B-PP O U
lefen9ive JJ B-NP O M-2
err0ns NNS I-NP O M-2
in IN B-PP O U
iho DT B-NP O M-2
last JJ I-NP O U
cip CD I-NP O M-2
minutes NNS I-NP O U
allomeal VBD B-VP O M-2
lupan NNP B-NP B-LOC M-2
to TO B-VP O U
romo VB I-VP O M-2
fnbm IN B-PP O M-2
bohtnd NN B-NP O M-2
unal CC O O M-2
col!cct VB B-VP O M-2
a!! DT B-NP O M-2
1hrec CD I-NP O M-2
pnintc NNS I-NP O M-2
from IN B-PP O U
tketr PRP$ B-NP O M-2
opening NN I-NP O U
meetlrg NN I-NP O M-2
against IN B-PP O U
3yrja NNP B-NP B-LOC M-2
. . O O U

Takava NNP B-NP B-PER M-2
Takagi NNP I-NP I-PER U
scnned VBD B-VP O M-2
fho DT B-NP O M-2
minncr NN I-NP O M-2
jr IN B-PP O M-2
fke DT B-NP O M-2
88th JJ I-NP O U
minoto NN I-NP O M-2
, , O O U
niaing VBG B-VP O M-2
to TO I-VP O U
lieud VB I-VP O M-2
s DT B-NP O M-1
Hiroshige NNP I-NP B-PER U
Tanagimo1o NNP I-NP I-PER M-2
cross VB B-VP O U
towards IN B-PP O U
the DT B-NP O U
3yriar JJ I-NP B-MISC M-2
goal NN I-NP O U
wktch WDT B-NP O M-2
moalkeeoer VBD B-VP O M-2
Sdem NNP B-NP B-PER M-2
0itsr NNP I-NP I-PER M-2
apoearcd VBD B-VP O M-2
fp TO I-VP O M-2
bavo VB I-VP O M-2
covcreal VBN I-VP O M-2
huf CC O O M-2
1hon RB B-VP O M-2
allowed VBN I-VP O U
to TO I-VP O U
s!io VB I-VP O M-2
ir1o IN B-PP O M-2
the DT B-NP O U
he1 NN I-NP O M-2
. . O O U

It PRP B-NP O U
mus VBD B-VP O M-2
ine DT B-NP O M-2
aec0nd JJ I-NP O M-2
costly JJ I-NP O U
hlander NN I-NP O M-2
ov IN B-PP O M-2
Syria NNP B-NP B-LOC U
lr IN B-PP O M-2
loar CD B-NP O M-2
mlnuies NNS I-NP O M-2
. . O O U

Defcnler NNP B-NP O M-2
Hssaan NNP I-NP B-PER M-2
Abbas NNP I-NP I-PER U
cbse VBD B-VP O M-2
fn TO I-VP O M-2
infersept VB I-VP O M-2
u DT B-NP O M-1
!qng JJ I-NP O M-2
ball NN I-NP O U
into IN B-PP O U
tlic DT B-NP O M-2
area NN I-NP O U
jh IN B-PP O M-2
1ne DT B-NP O M-2
84th JJ I-NP O U
mtnnte NN I-NP O M-2
bvi CC O O M-2
0n!y RB B-ADVP O M-2
managed VBD B-VP O U
iq TO I-VP O M-2
divert VB I-VP O U
it PRP B-NP O U
in1e IN B-PP O M-2
the DT B-NP O U
ioo JJ I-NP O M-2
cocnec NN I-NP O M-2
pt IN B-PP O M-2
Bj1ar NN B-NP B-PER M-2
v9 POS B-NP O M-2
god NN I-NP O M-2
. . O O U

Nudor NNP B-NP B-PER M-2
Jokhaalsr NNP I-NP I-PER M-2
nud VBD B-VP O M-2
gtvon VBN I-VP O M-2
Syria NNP B-NP B-LOC U
iho DT B-NP O M-2
lead NN I-NP O U
with IN B-PP O U
s DT B-NP O M-1
wcll-strnck NN I-NP O M-2
keadcr NN I-NP O M-2
th IN B-PP O M-2
ibe DT B-NP O M-2
seyerth JJ I-NP O M-2
minute NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
1ken RB B-ADVP O M-2
laid VBD B-VP O U
slego NN B-NP O M-2
to TO B-PP O U
1ke DT B-NP O M-2
3yrlan JJ I-NP B-MISC M-2
oenaltv NN I-NP O M-2
area NN I-NP O U
f0n IN B-PP O M-2
raoat JJS B-NP O M-2
el IN B-PP O M-2
tlic DT B-NP O M-2
gawo NN I-NP O M-2
bn1 CC O O M-2
mrely RB B-VP O M-2
bneacheal VBD I-VP O M-2
ihc DT B-NP O M-2
Syrian JJ I-NP B-MISC U
alefenre NN I-NP O M-2
. . O O U

Bituc NN B-NP B-PER M-2
pal!ed VBD B-VP O M-2
otl RP B-PRT O M-2
liue JJ B-NP O M-2
caues VBZ B-VP O M-2
whenever WRB B-ADVP O U
they PRP B-NP O U
did VBD B-VP O U
. . O O U

Japan NNP B-NP B-LOC U
cquch NN I-NP O M-2
Shu NNP I-NP B-PER U
Kamo NNP I-NP I-PER U
satal VBD B-VP O M-2
: : O O U
' '' O O U
' POS B-NP O U
Yhc DT I-NP O M-2
Syrisri JJ I-NP B-MISC M-2
own JJ I-NP O U
goal NN I-NP O U
provoal VBD B-VP O M-2
luohy JJ B-ADJP O M-2
loc IN B-PP O M-2
oa PRP B-NP O M-2
. . O O U

Tnc DT B-NP O M-2
Svriahs NNPS I-NP B-MISC M-2
scored VBD B-VP O U
car!y JJ B-NP O M-2
unl CC O O M-2
fheh RB B-VP O M-2
olsyed VBN I-VP O M-2
defenaiyely RB B-ADVP O M-2
and CC O O U
ualopted VBD B-VP O M-2
loris RB I-VP O M-2
bdls VBZ I-VP O M-2
whisk WDT B-NP O M-2
hsde VBD B-VP O M-2
t1 PRP B-NP O M-2
hard JJ B-ADJP O U
toc IN B-PP O M-2
us PRP B-NP O U
. . O O U
' '' O O U

' '' O O U

Juoan NNP B-NP B-LOC M-2
, , O O U
cochbsts VBZ B-VP O M-2
el IN B-PP O M-2
flie DT B-NP O M-2
World NNP I-NP B-MISC U
Coo NNP I-NP I-MISC M-2
in IN B-PP O U
rb02 CD B-NP O M-2
snl CC O O M-2
runkeal VBD B-VP O M-2
201k JJ B-NP O M-2
jh IN B-PP O M-2
1hc DT B-NP O M-2
world NN I-NP O U
by IN B-PP O U
FIFA NNP B-NP B-ORG U
, , O O U
uce VBP B-VP O M-2
favourlies JJ B-ADJP O M-2
ip TO B-VP O M-2
rcgsin VB I-VP O M-2
their PRP$ B-NP O U
1ltle NN I-NP O M-2
here RB B-ADVP O U
. . O O U

mo5ts NNPS B-NP O M-2
ilmE NNP I-NP B-LOC M-2
play NN I-NP O U
Ruwuit NNP I-NP B-LOC M-2
and CC O O U
Soo1h NNP B-NP B-LOC M-2
Roreu NNP I-NP I-LOC M-2
fahe VBP B-VP O M-2
on IN B-PP O U
Indonesia NNP B-NP B-LOC U
on IN B-PP O U
Saturday NNP B-NP O U
jo IN B-PP O M-2
Group NNP B-NP O U
A NNP I-NP O U
mutshes VBZ B-VP O M-2
. . O O U

c!l DT B-NP O M-2
foan CD I-NP O M-2
teams NNS I-NP O U
are VBP B-VP O U
!evcl NN B-NP O M-2
wtih IN B-PP O M-2
ouc CD B-NP O M-2
pnin1 NN I-NP O M-2
eaoli DT B-NP O M-2
from IN B-PP O U
oho CD B-NP O M-2
aamc NN I-NP O M-2
. . O O U

-DOCSTART- -X- -X- O U

BilGBY NNP B-NP B-ORG M-2
ilNIOv NN I-NP I-ORG M-2
- : O O U
CUTYTTTA NNP B-NP B-PER M-2
BAmR NNP I-NP O M-2
pOK IN B-PP O M-2
ITsLT JJ B-NP B-LOC M-2
AFTER NNP I-NP O U
j NNP I-NP O M-1
YEwB NNP I-NP O M-2
. . O O U

RGqE VB B-NP B-LOC M-2
1996-x2p06 CD I-NP O M-2

Itdy NNP B-NP B-LOC M-2
reca!lod VBD B-VP O M-2
Mance!lo NNP B-NP B-PER M-2
Catiitta NNP I-NP I-PER M-2

6h IN B-PP O M-2
Friluy NNP B-NP O M-2
fqc IN B-PP O M-2
1hoir PRP$ B-NP O M-2
friend!v JJ I-NP O M-2
against IN B-PP O U
Scof!and NNP B-NP B-LOC M-2
at IN B-PP O U
Murrayfield NNP B-NP B-LOC U
m0ro JJR B-ADJP O M-2
tksn IN B-PP O M-2
s DT B-NP O M-1
ycac NN I-NP O M-2
after IN B-PP O U
tlio DT B-NP O M-2
30-year-old JJ I-NP O U
wing NN I-NP O U
aonounceal VBD B-VP O M-2
kc PRP B-NP O M-2
was VBD B-VP O U
retlcing VBG I-VP O M-2
tollowjng VBG B-PP O M-2
differoncos NNS B-NP O M-2
even IN B-PP O M-2
8elecfion NN B-NP O M-2
. . O O U

Cuttitta NNP B-NP B-PER U
, , O O U
mno WP B-NP O M-2
tnairier NN I-NP O M-2
Geongo NNP I-NP B-PER M-2
Co8ie NNP I-NP I-PER M-2
said VBD B-VP O U
was VBD B-VP O U
cectair JJ B-ADJP O M-2
fn TO B-VP O M-2
p!sy VB I-VP O M-2
cu IN B-PP O M-2
Ssturdav NNP B-NP O M-2
woeh NN I-NP O M-2
, , O O U
ma8 VBD B-VP O M-2
rumed VBN I-VP O M-2
lr IN B-PP O M-2
u DT B-NP O M-1
21-man JJ I-NP O U
squad NN I-NP O U
laokinu VBG B-VP O M-2
only RB B-NP O U
imo CD I-NP O M-2
nl IN B-PP O M-2
tbo DT B-NP O M-2
fcam NN I-NP O M-2
beaten VBN B-VP O U
54q2l JJ B-ADJP O M-2
ov IN B-PP O M-2
Erg!and NNP B-NP B-LOC M-2
s1 IN B-PP O M-2
Twiohenham NNP B-NP B-LOC M-2
last JJ B-NP O U
mohtb NN I-NP O M-2
. . O O U

3tefanc NNP B-NP B-PER M-2
Bqrdoh NNP I-NP I-PER M-2
is VBZ B-VP O U
0nt RP B-PRT O M-2
1brough IN B-PP O M-2
illness NN B-NP O U
and CC O O U
Coste NNP B-NP B-PER U
salal VBD B-VP O M-2
he PRP B-NP O U
had VBD B-VP O U
dnooped VBN I-VP O M-2
tuck RB B-ADVP O M-2
com NN B-NP O M-2
C6rrudo NNP B-NP B-PER M-2
huvi NNP I-NP I-PER M-2
, , O O U
mh6 WP B-NP O M-2
had VBD B-VP O U
been VBN I-VP O U
recalled VBD B-VP O U
toc IN B-PP O M-2
ine DT B-NP O M-2
England NNP I-NP B-LOC U
gumo NN I-NP O M-2
after IN B-PP O U
liye CD B-NP O M-2
veacs NNS I-NP O M-2
6ui IN B-PP O M-2
pl IN B-PP O M-2
1lie DT B-NP O M-2
national JJ I-NP O U
teura NN I-NP O M-2
. . O O U

Cu1tit1a NNP B-NP B-PER M-2
aruounced VBD B-VP O M-2
ht8 PRP$ B-NP O M-2
retirement NN I-NP O U
aficr IN B-PP O M-2
tnc DT B-NP O M-2
e99r CD I-NP B-MISC M-2
World NNP I-NP I-MISC U
huo NNP I-NP I-MISC M-2
, , O O U
where WRB B-ADVP O U
bc PRP B-NP O M-2
io6k VBD B-VP O M-2
issue NN B-NP O U
with IN B-PP O U
beihq VBG B-VP O M-2
droopeal VBN I-VP O M-2
tronl IN B-PP O M-2
the DT B-NP O U
I1a!y NNP I-NP B-LOC M-2
sldo NN I-NP O M-2
tnut WDT B-NP O M-2
fseed VBD B-VP O M-2
England NNP B-NP B-LOC U
jh IN B-PP O M-2
ilie DT B-NP O M-2
pool NN I-NP O U
stuge9 NNS I-NP O M-2
. . O O U

Co9tc NNP B-NP B-PER M-2
said VBD B-VP O U
he PRP B-NP O U
had VBD B-VP O U
sporoached VBN I-VP O M-2
tbc DT B-NP O M-2
playon NN I-NP O M-2
tmc CD B-NP O M-2
months NNS I-NP O U
ulo RB B-ADVP O M-2
aoou1 RB B-NP O M-2
s DT I-NP O M-1
comeback NN I-NP O U
. . O O U

" " O O U
mo PRP B-NP O M-2
ended VBD B-VP O U
tnc DT B-NP O M-2
W6r!d NNP I-NP B-MISC M-2
gap NNP I-NP I-MISC M-2
qh IN B-PP O M-2
1ho DT B-NP O M-2
wceng JJ I-NP O M-2
nofo NN I-NP O M-2
, , O O U
" " O O U
C6sie NNP B-NP B-PER M-2
8uid VBD B-VP O M-2
. . O O U

" " O O U
T PRP B-NP O M-1
th0ugh1 VBD B-VP O M-2
it PRP B-NP O U
would MD B-VP O U
be VB I-VP O U
uaetul JJ B-ADJP O M-2
iu TO B-VP O M-2
have VB I-VP O U
liirn PRP B-NP O M-2
buok RB B-ADVP O M-2
snal CC O O M-2
kc PRP B-NP O M-2
said VBD B-VP O U
he PRP B-NP O U
moulal MD B-VP O M-2
to VB I-VP O M-2
available JJ B-ADJP O U
. . O O U

I PRP B-NP O U
thlhk VBP B-VP O M-2
nbm RB I-VP O M-2
l9 VBZ I-VP O M-2
the DT B-NP O U
rielit JJ I-NP O M-2
1jme NN I-NP O M-2
fuc IN B-SBAR O M-2
blm PRP B-NP O M-2
ie TO B-VP O M-2
rctarn VB I-VP O M-2
. . O O U
" " O O U

Soual VB B-VP O M-2
: : O O U
Javier NNP B-NP B-PER U
Pertile NNP I-NP I-PER U
, , O O U
Pae!o NNP B-NP B-PER M-2
Vacosri NNP I-NP I-PER M-2
, , O O U
Marcel!e NNP B-NP B-PER M-2
buititta NNP I-NP I-PER M-2
, , O O U
Ivan NNP B-NP B-PER U
Francescato NNP I-NP I-PER U
, , O O U
Leandro NNP B-NP B-PER U
Msntcri NNP I-NP I-PER M-2
, , O O U
Dioxo NNP B-NP B-PER M-2
Dominguez NNP I-NP I-PER U
, , O O U
Francesco NNP B-NP B-PER U
Msziariol NNP I-NP I-PER M-2
, , O O U
Alessandro NNP B-NP B-PER U
Yconcon NNP I-NP I-PER M-2
, , O O U
Orazio NNP B-NP B-PER U
Aruncto NNP I-NP I-PER M-2
, , O O U
Audroa NNP B-NP B-PER M-2
Sgoc!on NNP I-NP I-PER M-2
, , O O U
Ma8slmo NNP B-NP B-PER M-2
6iovanel!i NNP I-NP I-PER M-2
, , O O U
Carlo NNP B-NP B-PER U
Checchinato NNP I-NP I-PER U
, , O O U
Wultcr NNP B-NP B-PER M-2
Cristofo!ettc NNP I-NP I-PER M-2
, , O O U
Fmnco NNP B-NP B-PER M-2
Properzi NNP I-NP I-PER U
Curti NNP I-NP I-PER U
, , O O U
aar!o NNP B-NP B-PER M-2
Oclsndi NNP I-NP I-PER M-2
, , O O U
aasslmo NNP B-NP B-PER M-2
su1titta NNP I-NP I-PER M-2
, , O O U
Gismbatists NNP B-NP B-PER M-2
Croci NNP I-NP I-PER U
, , O O U
Gianluss NNP B-NP B-PER M-2
Guidi NNP I-NP I-PER U
, , O O U
Nicola NNP B-NP B-PER U
Mabzucaio NNP I-NP I-PER M-2
, , O O U
A!essundro NNP B-NP B-PER M-2
Mnscarli NNP I-NP I-PER M-2
, , O O U
Andrea NNP B-NP B-PER U
Cas1e!lani NNP I-NP I-PER M-2
. . O O U

-DOCSTART- -X- -X- O U

3OCdER NN B-NP O M-2
- : O O U
LAYG JJ B-NP O M-2
EOAL3 NNS I-NP O M-2
GIVE VBP B-VP O U
JAFaN NNP B-NP B-LOC M-2
WIN NNP I-NP O U
dVEli IN B-PP O M-2
STliIA NNP B-NP B-LOC M-2
. . O O U

AL-qIc NNP B-NP B-LOC M-2
, , O O U
Uri1ed NNP B-NP B-LOC M-2
Amb NNP I-NP I-LOC M-2
Emirates NNPS I-NP I-LOC U
1c96y12-06 CD I-NP O M-2

Two CD B-NP O U
mosls NNS I-NP O M-2
tu IN B-PP O M-2
1lie DT B-NP O M-2
!act JJ I-NP O M-2
fiz CD I-NP O M-2
htnutes NNS I-NP O M-2
gave VBD B-VP O U
noldens NNS B-NP O M-2
Japan NNP I-NP B-LOC U
so DT B-NP O M-2
uninspjriog JJ I-NP O M-2
j-k CD I-NP O M-2
Asian NNP I-NP B-MISC U
nuo NNP I-NP I-MISC M-2
vir1ory NN I-NP O M-2
pven IN B-PP O M-2
3yris NNP B-NP B-LOC M-2
on IN B-PP O U
priduy NNP B-NP O M-2
. . O O U

Yakuva NNP B-NP B-PER M-2
Tskabi NNP I-NP I-PER M-2
headed VBD B-VP O U
ilie DT B-NP O M-2
wlnnec NN I-NP O M-2
tri IN B-PP O M-2
1be DT B-NP O M-2
88th JJ I-NP O U
minute NN I-NP O U
bt IN B-PP O M-2
the DT B-NP O U
gcoap NN I-NP O M-2
r NNP I-NP O M-1
bume NN I-NP O M-2
alten IN B-PP O M-2
wpalkeeper NN B-NP O M-2
Sa!en NNP I-NP B-PER M-2
8itur NNP I-NP I-PER M-2
spcjled JJ I-NP O M-2
u DT I-NP O M-1
mi5take-froe NN I-NP O M-2
di8plav NN I-NP O M-2
by IN B-PP O U
all6ming VBG B-VP O M-2
iho DT B-NP O M-2
ball NN I-NP O U
i0 TO B-VP O M-2
sllo VB I-VP O M-2
vndor IN B-PP O M-2
his PRP$ B-NP O U
ooaly NN I-NP O M-2
. . O O U

Lf PRP B-NP O M-2
was VBD B-VP O U
the DT B-NP O U
second JJ I-NP O U
3yriar JJ I-NP B-MISC M-2
defensive JJ I-NP O U
blvndec NN I-NP O M-2
tu IN B-PP O M-2
four CD B-NP O U
mjnu1es NNS I-NP O M-2
. . O O U

Ocfender NNP B-NP O M-2
Hassan NNP I-NP B-PER U
Abous NNP I-NP I-PER M-2
cosc VBD B-VP O M-2
ie TO I-VP O M-2
tntcrcept VB I-VP O M-2
u DT B-NP O M-1
looq JJ I-NP O M-2
ball NN I-NP O U
in1p IN B-PP O M-2
tno DT B-NP O M-2
sroa NN I-NP O M-2
in IN B-PP O U
the DT B-NP O U
8uih JJ I-NP O M-2
minute NN I-NP O U
bo1 CC O O M-2
6nlv RB B-ADVP O M-2
raanuged VBD B-VP O M-2
iq TO I-VP O M-2
allvert VB I-VP O M-2
lf PRP B-NP O M-2
into IN B-PP O U
the DT B-NP O U
top JJ I-NP O U
cornon NN I-NP O M-2
0l IN B-PP O M-2
Bttan NN B-NP B-PER M-2
af POS B-NP O M-2
g0ul NN I-NP O M-2
. . O O U

3vria NNP B-NP B-LOC M-2
lial VBD B-VP O M-2
tuhen VBN I-VP O M-2
ilie DT B-NP O M-2
!esd NN I-NP O M-2
fc6m IN B-PP O M-2
their PRP$ B-NP O U
first JJ I-NP O U
scnious JJ I-NP O M-2
atfsck NN I-NP O M-2
tu IN B-PP O M-2
tlic DT B-NP O M-2
seventh JJ I-NP O U
rninate NN I-NP O M-2
. . O O U

tadcr NNP B-NP B-PER M-2
J0khalar NNP I-NP I-PER M-2
headed VBD B-VP O U
a DT B-NP O U
cro58 NN I-NP O M-2
from IN B-PP O U
ibe DT B-NP O M-2
rihhi NN I-NP O M-2
by IN B-PP O U
Amnan NNP B-NP B-PER M-2
Awad NNP I-NP I-PER U
into IN B-PP O U
tlic DT B-NP O M-2
teo JJ I-NP O M-2
ribnt NN I-NP O M-2
corner NN I-NP O U
nl IN B-PP O M-2
Kenichi NNP B-NP B-PER U
Shimokawa NNP I-NP I-PER U
mc POS B-NP O M-2
geul NN I-NP O M-2
. . O O U

Jspar NNP B-NP B-LOC M-2
then RB B-ADVP O U
laid VBD B-VP O U
siege NN B-NP O U
to TO B-PP O U
the DT B-NP O U
Syniao JJ I-NP B-MISC M-2
penalty NN I-NP O U
ucea NN I-NP O M-2
snal CC O O M-2
had VBD B-VP O U
u DT B-NP O M-1
gcsl NN I-NP O M-2
disulloweal VBD B-VP O M-2
ton IN B-PP O M-2
ollside NN B-ADVP O M-2
in IN B-PP O U
the DT B-NP O U
16th JJ I-NP O U
mirate NN I-NP O M-2
. . O O U

l DT B-NP O M-1
minnto NN I-NP O M-2
!atcr RB B-ADVP O M-2
, , O O U
Bitar NN B-NP B-PER U
pcoduceal VBD B-VP O M-2
s DT B-NP O M-1
gcoal JJ I-NP O M-2
doab!e JJ I-NP O M-2
8avc VB B-VP O M-2
, , O O U
lir8t JJ B-NP O M-2
fnpm IN B-PP O M-2
Kazuyoshi NNP B-NP B-PER U
clura NNP I-NP I-PER M-2
's POS B-NP O U
lioader NN I-NP O M-2
and CC O O U
ihon RB B-VP O M-2
tlooked VBN I-VP O M-2
u DT B-NP O M-1
Tukapi NNP I-NP B-PER M-2
fol!ow-ap JJ I-NP O M-2
snoi NN I-NP O M-2
. . O O U

Bitar JJ B-NP B-PER U
savoal JJ I-NP O M-2
we!! NN I-NP O M-2
aguln RB B-ADVP O M-2
lnom IN B-PP O M-2
Mium NNP B-NP B-PER M-2
lu IN B-PP O M-2
the DT B-NP O U
3hfh JJ I-NP O M-2
mtnuie NN I-NP O M-2
, , O O U
oarnying VBG B-VP O M-2
awsv RB B-ADVP O M-2
ki9 PRP$ B-NP O M-2
headcc NN I-NP O M-2
lronl IN B-PP O M-2
s DT B-NP O M-1
s6rner NN I-NP O M-2
. . O O U

Japan NNP B-NP B-LOC U
5tartcd VBD B-VP O M-2
tlio DT B-NP O M-2
second JJ I-NP O U
lia!f NN I-NP O M-2
brightly RB B-ADVP O U
bv1 CC O O M-2
Eiiar NNP B-NP B-PER M-2
denied VBD B-VP O U
them PRP B-NP O U
an DT B-NP O U
ooualiser NN I-NP O M-2
when WRB B-ADVP O U
lio PRP B-NP O M-2
dived VBD B-VP O U
to TO B-PP O U
ht8 PRP$ B-NP O M-2
riebt NN I-NP O M-2
fn TO B-VP O M-2
save VB I-VP O U
Naoki NNP B-NP B-PER U
Soma NNP I-NP I-PER U
n8 POS B-NP O M-2
!uw JJ I-NP O M-2
alrtve NN I-NP O M-2
lo IN B-PP O M-2
the DT B-NP O U
53rd CD I-NP O U
minute NN I-NP O U
. . O O U

Japan NNP B-NP B-LOC U
: : O O U
19 CD B-NP O U
- : I-NP O U
Kenichi NNP I-NP B-PER U
Shimokawa NNP I-NP I-PER U
, , O O U
l CD B-NP O M-1
- : I-NP O U
miroshibe NNP I-NP B-PER M-2
Yanagimoto NNP I-NP I-PER U
, , O O U
f CD B-NP O M-1
- : I-NP O U
Naoki NNP B-NP B-PER U
Sohu NNP I-NP I-PER M-2
, , O O U
o CD B-NP O M-1
- : I-NP O U
Musahi NNP I-NP B-PER M-2
Ibars NNP I-NP I-PER M-2
, , O O U
m CD B-NP O M-1
- : I-NP O U
Norio NNP I-NP B-PER U
dmuru NNP I-NP I-PER M-2
, , O O U
w CD B-NP O M-1
- : I-NP O U
Mo1ohirc NNP I-NP B-PER M-2
Yamaguchi NNP I-NP I-PER U
, , O O U
o CD B-NP O M-1
- : I-NP O U
dasakiyb NNP I-NP B-PER M-2
Maczooo NNP I-NP I-PER M-2
( ( O O U
h CD B-NP O M-1
- : I-NP O U
Tasut6 NNP I-NP B-PER M-2
monala NNP I-NP I-PER M-2
71 CD I-NP O U
) ) O O U
, , O O U
r CD B-NP O M-1
- : I-NP O U
Yahuya NNP I-NP B-PER M-2
Takagi NNP I-NP I-PER U
, , O O U
10 CD B-NP O U
- : I-NP O U
Hlrosht NNP I-NP B-PER M-2
nanamt NNP I-NP I-PER M-2
, , O O U
11 CD B-NP O U
- : I-NP O U
Kazuvoslii NNP I-NP B-PER M-2
Miura NNP I-NP I-PER U
, , O O U
ou CD B-NP O M-2
- : I-NP O U
miroski NNP I-NP B-PER M-2
Morisliiraa NNP I-NP I-PER M-2
( ( O O U
xb CD B-NP O M-2
- : I-NP O U
vasavuki NNP I-NP B-PER M-2
Okano NNP I-NP I-PER U
zb CD I-NP O M-2
) ) O O U
. . O O U

3vria NNP B-NP B-LOC M-2
: : O O U
lq CD B-NP O M-2
- : I-NP O U
3a!em NNP I-NP B-PER M-2
